ticker,year,indices,annual_return_pct,price,daily_change_pct,volume,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_ytd_pct,return_1y_pct,return_3y_pct,return_5y_pct,market_cap,enterprise_value,pe,pb,ev_sales,ev_ebitda,peg,gross_margin_pct,ebitda_margin_pct,net_margin_pct,roe_pct,roic_pct,roa_pct,working_capital,net_debt,net_debt_ebitda,net_fin_exp_ebitda,current_ratio,leverage_ratio,financial_debt_ratio,revenue_growth_pct,gross_profit_growth_pct,ebitda_growth_pct,operating_income_growth_pct,net_income_growth_pct,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,revenue,gross_profit,operating_income,ebitda,net_income,free_cash_flow,ocf,icf,fcf_financing,source_file
AEFES,2023,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",105.8015267175572,18.98,1.99,716498510.72,-1.145833333333329,13.11084624553038,-1.197293076522641,30.62629043358569,20.81476766390833,19.8989260897031,216.3333333333334,888.5416666666667,112381578917.4,167765622917.4,12.54698958176842,1.034714086241112,0.6879950657176279,4.242382292880707,-0.2623142005509841,37.6981855898891,16.21718690633272,3.67314389276124,8.194206905394882,8.743831638192157,2.048200044157177,3387272000.0,55384044000.0,1.400527017918382,-0.4917141661764042,1.032035162875319,47.04650365230977,22.48354066076161,-19.47576272020117,-22.83046081330746,-20.89268768853682,-24.54185744697499,-47.83191133157794,413578419000.0,109123335000.0,304455084000.0,105736063000.0,88838123000.0,108611239000.0,243847131000.0,91925944000.0,25729479000.0,39545145000.0,8956856000.0,-12944323000.0,34153496000.0,-47097819000.0,-20283573000.0,2023stocks.xlsx
ARCLK,2023,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",12.01185495118548,111.9,-0.36,293601126.2,-2.864583333333329,3.038674033149192,-1.84210526315789,1.175406871609425,10.79207920792081,-1.583113456464375,17.5420168067227,244.3076923076923,75613986139.5,245395095139.5,46.89673957668054,1.031365275038929,0.4350806234974587,7.316215204232801,0.04550748976781796,29.80078632593055,5.946729173984706,-1.394607791962152,-10.64656111287514,0.5539358163448908,-1.544846094386245,-15788398000.0,169781109000.0,5.061858022676359,-0.1811908835695651,0.9554610569655252,86.05257181976896,44.36478872650538,-8.771631425953212,-5.145859859025417,3.433315660307804,-92.85026164722133,36.37131488871179,561803151000.0,338696844000.0,223106307000.0,354485242000.0,128960818000.0,73314458000.0,130271680000.0,38821985000.0,234374000.0,7746904000.0,-1816779000.0,-19493908000.0,-16428422000.0,-3065486000.0,1508272000.0,2023stocks.xlsx
ASELS,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST TEMETTÜ (XTMTU), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",39.51537744641195,420.25,-1.23,11475700075.0,5.989911727616644,31.22560499609679,38.58202802967847,106.409626719057,81.37678031937853,211.2962962962963,1786.220825852783,5602.170963364993,1916340000000.0,1938424087000.0,53.9517993264902,6.817923062196316,9.546712494882343,35.90665316380595,0.9296337033869083,30.71558453672557,25.16426668376776,16.14686729357718,14.61287626389104,16.90965161258924,8.472935576406886,72793199000.0,22084087000.0,0.4090774860188352,-0.03047213301948641,1.539681050431323,41.70580086030744,10.94592663296361,15.02307482417689,18.04049383933082,28.28049981945516,-11.78975802809784,86.07414732856378,485018937000.0,207675087000.0,277343850000.0,134881888000.0,67399144000.0,281073867000.0,34305800000.0,10537227000.0,8549768000.0,8632803000.0,5539312000.0,-7716663000.0,5863229000.0,-13579892000.0,9128007000.0,2023stocks.xlsx
ASTOR,2023,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",69.73758042123221,284.0,7.58,12780841517.5,36.60413660413658,45.64102564102564,77.72215269086357,189.2057026476578,142.9426860564585,186.434694906707,494.5153862256645,1636.49624188283,283432000000.0,275507255300.0,36.95858014191924,8.516552399830536,7.806779950556354,24.81469145743847,2.2265948761694,36.94966961725793,31.46031440264467,21.73063918744103,25.33602228118946,29.3086051080299,16.91523939254488,18497720596.0,-7924744700.0,-0.7137746495835053,0.02888187834261439,2.068181255071998,34.33854869786933,9.108880230216323,1.26805489174304,8.196858113868407,6.41772420881158,13.19101273168103,16.5986998970833,50684431646.0,35814744751.0,14869686895.0,17317024155.0,87274088.0,33280133403.0,35290767390.0,13039821956.0,9777395430.0,11102586376.0,7668909328.0,-4236730281.0,2756906505.0,-6993636786.0,844128375.0,2023stocks.xlsx
BIMAS,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST TEMETTÜ (XTMTU), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",120.7131901840491,741.5,1.99,4001778844.0,-2.817824377457399,8.565153733528547,11.67168674698796,38.7952979934112,38.21062441752096,68.49209234684602,407.1125700998495,1234.833483348335,444900000000.0,483474474000.0,23.87813552819681,2.686844407171516,0.6705028620639443,11.11828725274763,-1.019785316652027,19.3390599066872,6.0306308590673,2.583979591916266,11.66086578672868,1.897022136353347,5.761307364417715,3130249000.0,38574474000.0,0.8870831980172851,-0.1857024936955868,1.028888300504499,50.57739225089362,15.59520845282202,6.027242848535775,17.30763630076695,47.27296403964636,129.7852469748412,-23.41486500961707,338093384000.0,111487229000.0,226606155000.0,108356980000.0,62641837000.0,165584579000.0,721062506000.0,139446710000.0,15946069000.0,43484618000.0,18632108000.0,19794423000.0,40903032000.0,-21108609000.0,-19125094000.0,2023stocks.xlsx
BRSAN,2023,"BIST 50 (XU050), BIST 100 (XU100), BIST TÜM (XUTUM), BIST SINAİ (XUSIN)",602.3172905525846,547.0,-1.62,884830849.5,-1.530153015301522,5.90513068731849,-15.06211180124224,13.54436948624806,-1.441441441441441,50.68870523415978,358.8926174496644,2109.208400646203,77549055354.0,85342126354.0,60.98249089497908,2.055102959765921,1.194371662434362,17.87131182588993,0.04550748976781796,8.412569862143778,6.683178459815643,1.779702390262455,3.749371492218223,4.4117294317175,1.932233400896467,5709944000.0,7793071000.0,1.631930300688742,-0.234598575607754,1.179794213271216,50.47069532323828,17.39562312814938,29.76068677868155,66.65115047609014,102.5209895151026,79.38765433254392,36.37131488871179,76186969000.0,37468163000.0,38718806000.0,31758219000.0,6693874000.0,37734876000.0,71453576000.0,6011082000.0,3066266000.0,4775370000.0,1271661000.0,6181200000.0,9448192000.0,-3266992000.0,-3064157000.0,2023stocks.xlsx
BTCIM,2023,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",189.2307692307692,6.22,0.48,249027789.95,-4.160246533127903,4.537815126050404,28.77846790890268,41.68564920273349,63.25459317585299,17.58034026465027,486.7924528301886,1380.952380952381,34707600000.0,40065748000.0,46.89673957668054,1.587555194914349,2.803862672988239,29.50134563091498,0.04550748976781796,10.07374444547784,9.50418570077028,-1.600876672724969,-1.040132352621223,0.8448169022028215,-0.6355502453426706,110529000.0,5358148000.0,3.945329464199591,-1.494748910057367,1.021778632668599,30.35762841529901,15.65830993956671,-18.77374383654299,-31.03825916740164,-35.11179976139319,-1.794588086708604,36.37131488871179,35573935000.0,5185641000.0,30388294000.0,5075112000.0,5724291000.0,21862295000.0,14289483000.0,1439486000.0,-88634000.0,1358099000.0,-228757000.0,1084101000.0,1988994000.0,-904893000.0,-1205011000.0,2023stocks.xlsx
CANTE,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",-70.28795811518324,1.79,-0.56,725949700.95,4.67836257309942,9.146341463414643,1.371938164957442,-12.03261564197908,6.440535073205325,32.22426717168361,-18.43637159141355,1636.49624188283,17900000000.0,18067895716.0,46.89673957668054,0.640791407258151,2.933056200887289,8.338082944243663,0.04550748976781796,6.2713439652927,35.17662537660619,-27.73583629123429,-5.958179929072846,0.6512183916421744,-5.278277952663968,2546603519.0,167895716.0,0.07748154118199128,0.4104309711411243,2.221696571253344,6.990125871218335,2.189742354816806,-22.89678476982552,-70.73381430272273,-26.67562234081124,-1.794588086708604,36.37131488871179,30928456652.0,4631084706.0,26297371946.0,2084481187.0,77456863.0,27934207290.0,6160091890.0,386320551.0,-852791069.0,2166912447.0,-1708553002.0,763676808.0,-1738166101.0,2501842909.0,612134777.0,2023stocks.xlsx
CCOLA,2023,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",153.1147540983607,75.0,0.47,305270829.05,-4.33673469387756,6.458481192334986,4.311543810848391,45.91439688715954,27.55102040816327,47.00117600940808,265.4970760233918,1041.552511415525,209855895150.0,235449078150.0,14.91263934150022,2.767095689823313,1.257844856492776,7.15440714877117,-0.5438020146190479,35.56278859692421,17.58139885439455,7.517903430836165,19.25950290152667,13.86282686191656,7.311765140987912,9780354000.0,25593183000.0,0.7776800523226375,-0.3203068424659316,1.153209402274213,54.59206357752095,27.31983046048931,3.866631491881777,4.666509549579987,4.141241429103645,1.764301224034896,-27.42292036550663,190775353000.0,73616867000.0,117158486000.0,63836513000.0,40311689000.0,75839768000.0,187184514000.0,66568033000.0,25155601000.0,32909656000.0,14072351000.0,13743335000.0,27374133000.0,-13630798000.0,-19600533000.0,2023stocks.xlsx
CIMSA,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",103.584229390681,57.6,0.7,768003369.35,2.309058614564833,20.1007785649735,13.68139778647637,23.08307904280744,25.78296593793998,25.03009653942303,399.0535764602568,1966.751913821276,54466047014.4,77842149014.4,14.7236235523491,1.566882818819355,1.541565679131548,8.550575670354151,4.108479036310211,14.35566735557795,12.63652135338397,5.507862873413412,10.97291727194727,5.030651499998334,4.011230183763919,-819393000.0,23376102000.0,2.567749369200244,-0.03074431466147427,0.9648189381351155,51.39651087197351,30.66873480197315,-0.1833223592780139,-7.160370550343541,2.671449127561783,-56.33857262022366,80.40531978700578,92966838000.0,22471348000.0,70495490000.0,23290741000.0,24490970000.0,34760766000.0,11631880000.0,1669834000.0,386284000.0,1469865000.0,640668000.0,-3926887000.0,-3241204000.0,-685683000.0,-693575000.0,2023stocks.xlsx
