ticker,period,revenue,net_income,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,cash,operating_cash_flow,operating_income,gross_profit,inventory
AEFES,2022Q1,21744186047,1956976744,49209302326,20325581395,28883720930,14976744186,10697674419,3744186047,3131162791,3044186047,9784883721,4364651163
AEFES,2022Q2,26220930233,2359883721,51081395349,21098837209,29982558140,15546511628,11104651163,3886627907,3775813953,3670930233,11799418605,5463488372
AEFES,2022Q3,29418604651,2647674419,52418604651,21651162791,30767441860,15953488372,11395348837,3988372093,4236279070,4118604651,13238372093,6290232558
AEFES,2022Q4,31976744186,2877906977,53488372093,22093023256,31395348837,16279069767,11627906977,4069767442,4604651163,4476744186,14389534884,6976744186
AEFES,2023Q1,37400000000,3366000000,84640000000,34960000000,49680000000,25760000000,18400000000,6440000000,5385600000,5236000000,16830000000,7507200000
AEFES,2023Q2,45100000000,4059000000,87860000000,36290000000,51570000000,26740000000,19100000000,6685000000,6494400000,6314000000,20295000000,9397200000
AEFES,2023Q3,50600000000,4554000000,90160000000,37240000000,52920000000,27440000000,19600000000,6860000000,7286400000,7084000000,22770000000,10819200000
AEFES,2023Q4,55000000000,4950000000,92000000000,38000000000,54000000000,28000000000,20000000000,7000000000,7920000000,7700000000,24750000000,12000000000
AEFES,2024Q1,55352000000,4981680000,125267200000,51740800000,73526400000,38124800000,27232000000,9531200000,7970688000,7749280000,24908400000,11110656000
AEFES,2024Q2,66748000000,6007320000,130032800000,53709200000,76323600000,39575200000,28268000000,9893800000,9611712000,9344720000,30036600000,13907856000
AEFES,2024Q3,74888000000,6739920000,133436800000,55115200000,78321600000,40611200000,29008000000,10152800000,10783872000,10484320000,33699600000,16012416000
AEFES,2024Q4,81400000000,7326000000,136160000000,56240000000,79920000000,41440000000,29600000000,10360000000,11721600000,11396000000,36630000000,17760000000
AEFES,2025Q1,73064640000,6575817600,165352704000,68297856000,97054848000,50324736000,35946240000,12581184000,10521308160,10229049600,32879088000,14666065920
AEFES,2025Q2,88107360000,7929662400,171643296000,70896144000,100747152000,52239264000,37313760000,13059816000,12687459840,12335030400,39648312000,18358369920
AKBNK,2022Q1,16604651163,4981395349,417209302326,47069767442,370139534884,157790697674,143348837209,20325581395,7472093023,5811627907,9962790698,0
AKBNK,2022Q2,20023255814,6006976744,433081395349,48860465116,384220930233,163793604651,148802325581,21098837209,9010465116,7008139535,12013953488,0
AKBNK,2022Q3,22465116279,6739534884,444418604651,50139534884,394279069767,168081395349,152697674419,21651162791,10109302326,7862790698,13479069767,0
AKBNK,2022Q4,24418604651,7325581395,453488372093,51162790698,402325581395,171511627907,155813953488,22093023256,10988372093,8546511628,14651162791,0
AKBNK,2023Q1,28560000000,8568000000,717600000000,80960000000,636640000000,271400000000,246560000000,34960000000,12852000000,9996000000,17136000000,0
AKBNK,2023Q2,34440000000,10332000000,744900000000,84040000000,660860000000,281725000000,255940000000,36290000000,15498000000,12054000000,20664000000,0
AKBNK,2023Q3,38640000000,11592000000,764400000000,86240000000,678160000000,289100000000,262640000000,37240000000,17388000000,13524000000,23184000000,0
AKBNK,2023Q4,42000000000,12600000000,780000000000,88000000000,692000000000,295000000000,268000000000,38000000000,18900000000,14700000000,25200000000,0
AKBNK,2024Q1,42268800000,12680640000,1062048000000,119820800000,942227200000,401672000000,364908800000,51740800000,19020960000,14794080000,25361280000,0
AKBNK,2024Q2,50971200000,15291360000,1102452000000,124379200000,978072800000,416953000000,378791200000,53709200000,22937040000,17839920000,30582720000,0
AKBNK,2024Q3,57187200000,17156160000,1131312000000,127635200000,1003676800000,427868000000,388707200000,55115200000,25734240000,20015520000,34312320000,0
