ticker,is_public_universe,is_training_universe,notes
AEFES,true,true,public_40
ARCLK,true,true,public_40
ASELS,true,true,public_40
ASTOR,true,true,public_40
BIMAS,true,true,public_40
BRSAN,true,true,public_40
BTCIM,true,true,public_40
CANTE,true,true,public_40
CCOLA,true,true,public_40
CIMSA,true,true,public_40
DOAS,true,true,public_40
DSTKF,true,true,public_40
ENKAI,true,true,public_40
EREGL,true,true,public_40
FROTO,true,true,public_40
GUBRF,true,true,public_40
HEKTS,true,true,public_40
KONTR,true,true,public_40
KRDMD,true,true,public_40
KUYAS,true,true,public_40
MAVI,true,true,public_40
MGROS,true,true,public_40
MIATK,true,true,public_40
OYAKC,true,true,public_40
PASEU,true,true,public_40
PETKM,true,true,public_40
PGSUS,true,true,public_40
SASA,true,true,public_40
SISE,true,true,public_40
TAVHL,true,true,public_40
TCELL,true,true,public_40
THYAO,true,true,public_40
TOASO,true,true,public_40
TRALT,true,true,public_40
TRMET,true,true,public_40
TSKB,true,true,public_40
TTKOM,true,true,public_40
TUPRS,true,true,public_40
TURSG,true,true,public_40
ULKER,true,true,public_40
