cell_id,ticker,year,column,value_state,source_class,evidence_level,source_artifact,source_field,source_effective_year,source_retrieved_at,transform_id,upstream_cells,resolution_note
AEFES|2020|ticker,AEFES,2020,ticker,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
AEFES|2020|company_name,AEFES,2020,company_name,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
AEFES|2020|year,AEFES,2020,year,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
AEFES|2020|sector,AEFES,2020,sector,null,metadata,column_asserted,,,,,T_NULL_PRESERVED,,null_preserved
AEFES|2020|indices,AEFES,2020,indices,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
AEFES|2020|is_bist100,AEFES,2020,is_bist100,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
AEFES|2020|benchmark_same_year_return_pct,AEFES,2020,benchmark_same_year_return_pct,present,yahoo_fetch,cell_verified,data/trusted_raw/bist100_benchmark_returns.csv,bist100_return_pct,2020,,T_COPY,,
AEFES|2020|current_assets,AEFES,2020,current_assets,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,current_assets,2020,,T_COPY,,
AEFES|2020|current_ratio,AEFES,2020,current_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,current_ratio,2020,,T_COPY,,
AEFES|2020|ebitda,AEFES,2020,ebitda,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,ebitda,2020,,T_COPY,,
AEFES|2020|ebitda_growth_pct,AEFES,2020,ebitda_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
AEFES|2020|ebitda_margin,AEFES,2020,ebitda_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,ebitda_margin,2020,,T_COPY,,
AEFES|2020|enterprise_value,AEFES,2020,enterprise_value,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,enterprise_value,2020,,T_RATIO,,
AEFES|2020|equity,AEFES,2020,equity,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,total_equity,2020,,T_COPY,,
AEFES|2020|ev_ebitda,AEFES,2020,ev_ebitda,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,ev_ebitda,2020,,T_RATIO,,
AEFES|2020|financial_debt_ratio,AEFES,2020,financial_debt_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,financial_debt_ratio,2020,,T_COPY,,
AEFES|2020|gross_margin,AEFES,2020,gross_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,gross_profit_margin,2020,,T_COPY,,
AEFES|2020|gross_profit,AEFES,2020,gross_profit,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,gross_profit,2020,,T_COPY,,
AEFES|2020|gross_profit_growth_pct,AEFES,2020,gross_profit_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
AEFES|2020|leverage_ratio,AEFES,2020,leverage_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,leverage_ratio,2020,,T_COPY,,
AEFES|2020|long_term_liabilities,AEFES,2020,long_term_liabilities,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,long_term_liabilities,2020,,T_COPY,,
AEFES|2020|market_cap,AEFES,2020,market_cap,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,market_cap,2020,,T_RATIO,,
AEFES|2020|net_debt,AEFES,2020,net_debt,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,net_debt,2020,,T_COPY,,
AEFES|2020|net_debt_to_ebitda,AEFES,2020,net_debt_to_ebitda,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,net_debt_to_ebitda,2020,,T_COPY,,
AEFES|2020|net_income,AEFES,2020,net_income,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,net_income,2020,,T_COPY,,
AEFES|2020|net_income_growth_pct,AEFES,2020,net_income_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
AEFES|2020|net_margin,AEFES,2020,net_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,net_profit_margin,2020,,T_COPY,,
AEFES|2020|non_current_assets,AEFES,2020,non_current_assets,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,non_current_assets,2020,,T_COPY,,
AEFES|2020|operating_income,AEFES,2020,operating_income,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,operating_income,2020,,T_COPY,,
AEFES|2020|operating_income_growth_pct,AEFES,2020,operating_income_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
