ticker,year,same_year_return_pct,next_year_return_pct,next_year_rank_by_return,next_year_return_percentile,next_year_top_10pct_returner,next_year_top_20pct_returner,target_year
AEFES,2020,9.14285714285714,33.83838383838383,25.0,40.0,False,False,2021
ARCLK,2020,44.08141403320832,69.94799405646359,12.0,72.5,False,False,2021
ASELS,2020,70.34220532319392,14.74501108647451,30.0,27.500000000000004,False,False,2021
ASTOR,2020,82.82446994315877,56.94799128792934,15.0,60.0,False,False,2021
BIMAS,2020,63.97078006783198,-13.79950495049506,36.0,12.5,False,False,2021
BRSAN,2020,138.2176520994002,-3.017241379310349,34.0,17.5,False,False,2021
BTCIM,2020,36.36363636363635,200.0,2.0,97.5,True,True,2021
CANTE,2020,82.82446994315877,56.94799128792934,15.0,60.0,False,False,2021
CCOLA,2020,74.03846153846152,38.64468864468864,24.0,42.5,False,False,2021
CIMSA,2020,89.99999999999997,67.08860759493669,13.0,70.0,False,False,2021
DOAS,2020,200.3898635477583,72.51655629139074,11.0,75.0,False,False,2021
DSTKF,2020,82.82446994315877,56.94799128792934,15.0,60.0,False,False,2021
ENKAI,2020,31.76470588235293,111.660777385159,8.0,82.5,False,True,2021
EREGL,2020,67.85714285714286,116.2790697674419,7.0,85.0,False,True,2021
FROTO,2020,93.01848049281315,99.0394877267876,9.0,80.0,False,True,2021
GUBRF,2020,839.410480349345,-0.7746933505487448,33.0,20.0,False,False,2021
HEKTS,2020,134.4827586206897,169.5652173913044,3.0,95.0,True,True,2021
KONTR,2020,82.82446994315877,155.8441558441559,4.0,92.5,True,True,2021
KRDMD,2020,111.0236220472441,56.88073394495413,20.0,52.5,False,False,2021
KUYAS,2020,107.1428571428571,116.9491525423729,6.0,87.5,False,True,2021
MAVI,2020,-9.177215189873422,32.53424657534248,26.0,37.5,False,False,2021
MGROS,2020,73.39055793991415,-15.29912508867343,37.0,10.0,False,False,2021
MIATK,2020,82.82446994315877,56.94799128792934,15.0,60.0,False,False,2021
OYAKC,2020,50.34965034965035,-13.00448430493275,35.0,15.0,False,False,2021
PASEU,2020,82.82446994315877,56.94799128792934,15.0,60.0,False,False,2021
PETKM,2020,52.76073619631904,56.62650602409639,21.0,50.0,False,False,2021
PGSUS,2020,-13.29545454545456,16.33199464524766,29.0,30.0,False,False,2021
SASA,2020,156.25,242.8571428571428,1.0,100.0,True,True,2021
SISE,2020,41.43763213530656,85.31157270029672,10.0,77.5,False,False,2021
TAVHL,2020,-21.80616740088105,54.82954545454547,22.0,47.5,False,False,2021
TCELL,2020,17.21384205856258,21.39673105497771,27.0,35.0,False,False,2021
THYAO,2020,-13.0344827586207,57.99676898222938,14.0,67.5,False,False,2021
TOASO,2020,45.44899205864385,139.917695473251,5.0,90.0,True,True,2021
TRALT,2020,26.46153846153847,8.849557522123902,32.0,22.5,False,False,2021
TRMET,2020,44.49626865671641,8.948004836759367,31.0,25.0,False,False,2021
TSKB,2020,47.05882352941177,-18.64406779661017,38.0,7.5,False,False,2021
TTKOM,2020,18.01346801346799,16.98630136986301,28.0,32.5,False,False,2021
TUPRS,2020,-15.59348332040342,40.46973803071364,23.0,45.0,False,False,2021
TURSG,2020,204.7619047619048,-24.63768115942028,40.0,2.5,False,False,2021
ULKER,2020,0.0484496124030897,-23.69914853358563,39.0,5.0,False,False,2021
AEFES,2021,33.83838383838383,137.5,32.0,22.5,False,False,2022
ARCLK,2021,69.94799405646359,134.1116535767353,33.0,20.0,False,False,2022
ASELS,2021,14.74501108647451,186.4939870490286,22.0,47.5,False,False,2022
ASTOR,2021,56.94799128792934,268.5459429240282,12.0,70.0,False,False,2022
BIMAS,2021,-13.79950495049506,118.7777398429498,36.0,12.5,False,False,2022
BRSAN,2021,-3.017241379310349,203.6488439306358,20.0,52.5,False,False,2022
BTCIM,2021,200.0,181.2500000000001,24.0,42.5,False,False,2022
CANTE,2021,56.94799128792934,922.0588235294118,2.0,97.5,True,True,2022
CCOLA,2021,38.64468864468864,131.5994798439532,34.0,17.5,False,False,2022
CIMSA,2021,67.08860759493669,235.1620947630923,16.0,62.5,False,False,2022
DOAS,2021,72.51655629139074,397.1014492753623,7.0,85.0,False,True,2022
DSTKF,2021,56.94799128792934,268.5459429240282,12.0,70.0,False,False,2022
ENKAI,2021,111.660777385159,139.0283400809717,31.0,25.0,False,False,2022
EREGL,2021,116.2790697674419,60.87649402390437,40.0,2.5,False,False,2022
FROTO,2021,99.0394877267876,120.0304259634889,35.0,15.0,False,False,2022
GUBRF,2021,-0.7746933505487448,239.7172236503856,15.0,65.0,False,False,2022
HEKTS,2021,169.5652173913044,619.6808510638298,3.0,95.0,True,True,2022
KONTR,2021,155.8441558441559,1124.271844660194,1.0,100.0,True,True,2022
KRDMD,2021,56.88073394495413,102.8473804100228,39.0,5.0,False,False,2022
KUYAS,2021,116.9491525423729,372.1428571428572,8.0,82.5,False,True,2022
MAVI,2021,32.53424657534248,287.8238341968913,10.0,77.5,False,False,2022
MGROS,2021,-15.29912508867343,274.6952045516121,11.0,75.0,False,False,2022
MIATK,2021,56.94799128792934,230.2816901408451,17.0,60.0,False,False,2022
OYAKC,2021,-13.00448430493275,157.0,28.0,32.5,False,False,2022
PASEU,2021,56.94799128792934,268.5459429240282,12.0,70.0,False,False,2022
PETKM,2021,56.62650602409639,147.029702970297,29.0,30.0,False,False,2022
PGSUS,2021,16.33199464524766,434.6216657593902,5.0,90.0,True,True,2022
SASA,2021,242.8571428571428,312.4137931034484,9.0,80.0,False,True,2022
SISE,2021,85.31157270029672,215.7650695517775,19.0,55.00000000000001,False,False,2022
TAVHL,2021,54.82954545454547,175.0,26.0,37.5,False,False,2022
TCELL,2021,21.39673105497771,105.0295857988166,38.0,7.5,False,False,2022
THYAO,2021,57.99676898222938,544.9390815370197,4.0,92.5,True,True,2022
TOASO,2021,139.917695473251,117.0136171544843,37.0,10.0,False,False,2022
TRALT,2021,8.849557522123902,423.913043478261,6.0,87.5,False,True,2022
TRMET,2021,8.948004836759367,184.3501326259947,23.0,45.0,False,False,2022
TSKB,2021,-18.64406779661017,195.2702702702703,21.0,50.0,False,False,2022
TTKOM,2021,16.98630136986301,179.4084186575654,25.0,40.0,False,False,2022
TUPRS,2021,40.46973803071364,218.757467144564,18.0,57.49999999999999,False,False,2022
TURSG,2021,-24.63768115942028,162.2641509433962,27.0,35.0,False,False,2022
ULKER,2021,-23.69914853358563,144.3236714975846,30.0,27.500000000000004,False,False,2022
