ticker,year,target_year,next_year_nominal_try_return_pct,cpi_december_yoy_pct,next_year_real_return_pct,usdtry_start_try_per_usd,usdtry_end_try_per_usd,next_year_usd_return_pct,real_target_status,usd_target_status
AEFES,2020,2021,33.8383838384,36.0800000000,-1.6472781905,7.3737301826,13.2904996872,-25.7448437812,derived,derived
ARCLK,2020,2021,69.9479940565,36.0800000000,24.8882966317,7.3737301826,13.2904996872,-5.7107947225,derived,derived
ASELS,2020,2021,14.7450110865,36.0800000000,-15.6782693368,7.3737301826,13.2904996872,-36.3380782164,derived,derived
ASTOR,2020,2021,56.9479912879,36.0800000000,15.3350905996,7.3737301826,13.2904996872,-12.9233536966,derived,derived
BIMAS,2020,2021,-13.7995049505,36.0800000000,-36.6545450841,7.3737301826,13.2904996872,-52.1749214054,derived,derived
BRSAN,2020,2021,-3.0172413793,36.0800000000,-28.7310709725,7.3737301826,13.2904996872,-46.1927909963,derived,derived
BTCIM,2020,2021,200.0000000000,36.0800000000,120.4585537919,7.3737301826,13.2904996872,66.4436331849,derived,derived
CANTE,2020,2021,56.9479912879,36.0800000000,15.3350905996,7.3737301826,13.2904996872,-12.9233536966,derived,derived
CCOLA,2020,2021,38.6446886447,36.0800000000,1.8846918318,7.3737301826,13.2904996872,-23.0782476673,derived,derived
CIMSA,2020,2021,67.0886075949,36.0800000000,22.7870426183,7.3737301826,13.2904996872,-7.2972169603,derived,derived
DOAS,2020,2021,72.5165562914,36.0800000000,26.7758350172,7.3737301826,13.2904996872,-4.2857252877,derived,derived
DSTKF,2020,2021,56.9479912879,36.0800000000,15.3350905996,7.3737301826,13.2904996872,-12.9233536966,derived,derived
ENKAI,2020,2021,111.6607773852,36.0800000000,55.5414295893,7.3737301826,13.2904996872,17.4319626357,derived,derived
EREGL,2020,2021,116.2790697674,36.0800000000,58.9352364546,7.3737301826,13.2904996872,19.9942471798,derived,derived
FROTO,2020,2021,99.0394877268,36.0800000000,46.2665253724,7.3737301826,13.2904996872,10.4295182817,derived,derived
GUBRF,2020,2021,-0.7746933505,36.0800000000,-27.0831079884,7.3737301826,13.2904996872,-44.9485981913,derived,derived
HEKTS,2020,2021,169.5652173913,36.0800000000,98.0931932623,7.3737301826,13.2904996872,49.5580472096,derived,derived
KONTR,2020,2021,155.8441558442,36.0800000000,88.0101086450,7.3737301826,13.2904996872,41.9454360927,derived,derived
KRDMD,2020,2021,56.8807339450,36.0800000000,15.2856657444,7.3737301826,13.2904996872,-12.9606688850,derived,derived
KUYAS,2020,2021,116.9491525424,36.0800000000,59.4276547196,7.3737301826,13.2904996872,20.3660172184,derived,derived
MAVI,2020,2021,32.5342465753,36.0800000000,-2.6056389070,7.3737301826,13.2904996872,-26.4683949286,derived,derived
MGROS,2020,2021,-15.2991250887,36.0800000000,-37.7565587071,7.3737301826,13.2904996872,-53.0069288194,derived,derived
MIATK,2020,2021,56.9479912879,36.0800000000,15.3350905996,7.3737301826,13.2904996872,-12.9233536966,derived,derived
OYAKC,2020,2021,-13.0044843049,36.0800000000,-36.0703147450,7.3737301826,13.2904996872,-51.7338343231,derived,derived
PASEU,2020,2021,56.9479912879,36.0800000000,15.3350905996,7.3737301826,13.2904996872,-12.9233536966,derived,derived
PETKM,2020,2021,56.6265060241,36.0800000000,15.0988433452,7.3737301826,13.2904996872,-13.1017176143,derived,derived
PGSUS,2020,2021,16.3319946452,36.0800000000,-14.5120556693,7.3737301826,13.2904996872,-35.4576005187,derived,derived
SASA,2020,2021,242.8571428571,36.0800000000,151.9526329050,7.3737301826,13.2904996872,90.2212950684,derived,derived
SISE,2020,2021,85.3115727003,36.0800000000,36.1784043947,7.3737301826,13.2904996872,2.8131047715,derived,derived
TAVHL,2020,2021,54.8295454545,36.0800000000,13.7783255839,7.3737301826,13.2904996872,-14.0986931006,derived,derived
TCELL,2020,2021,21.3967310550,36.0800000000,-10.7901741219,7.3737301826,13.2904996872,-32.6476234215,derived,derived
THYAO,2020,2021,57.9967689822,36.0800000000,16.1057973120,7.3737301826,13.2904996872,-12.3414791304,derived,derived
TOASO,2020,2021,139.9176954733,36.0800000000,76.3063605771,7.3737301826,13.2904996872,33.1092429997,derived,derived
TRALT,2020,2021,8.8495575221,36.0800000000,-20.0106132260,7.3737301826,13.2904996872,-39.6089472515,derived,derived
TRMET,2020,2021,8.9480048368,36.0800000000,-19.9382680506,7.3737301826,13.2904996872,-39.5543274891,derived,derived
TSKB,2020,2021,-18.6440677966,36.0800000000,-40.2146294802,7.3737301826,13.2904996872,-54.8627435431,derived,derived
TTKOM,2020,2021,16.9863013699,36.0800000000,-14.0312306218,7.3737301826,13.2904996872,-35.0945832238,derived,derived
TUPRS,2020,2021,40.4697380307,36.0800000000,3.2258509926,7.3737301826,13.2904996872,-22.0656881655,derived,derived
TURSG,2020,2021,-24.6376811594,36.0800000000,-44.6191072600,7.3737301826,13.2904996872,-58.1880728231,derived,derived
ULKER,2020,2021,-23.6991485336,36.0800000000,-43.9294154421,7.3737301826,13.2904996872,-57.6673635561,derived,derived
AEFES,2021,2022,137.5000000000,64.2700000000,44.5790466914,13.2904996872,18.7029895782,68.7694719880,derived,derived
