ticker,year,source,retrieved_at,revenue,gross_profit,operating_income,net_income,ebitda,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,roe,roa,gross_margin,net_margin,ebitda_margin,_bank_warning
AGESA,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
AGESA,2022,yfinance_unofficial,2026-06-10,7423635250.0,,,874584194.0,,87632574064.0,,,,,1726351302.0,,,50.6608,0.998,,11.7811,,
AGESA,2023,yfinance_unofficial,2026-06-10,15830061180.0,,,1390038546.0,,165281135254.0,,,,,3099774530.0,,,44.8432,0.841,,8.781,,
AGESA,2024,yfinance_unofficial,2026-06-10,24259450924.0,,,2871345742.0,,268785843836.0,,,,,5448908796.0,,,52.6958,1.0683,,11.836,,
AGESA,2025,yfinance_unofficial,2026-06-10,45660285083.0,,,5555079234.0,,466853140926.0,,,,,10090449625.0,,,55.0528,1.1899,,12.1661,,
AGHOL,2022,yfinance_unofficial,2026-06-10,319647531000.0,82966018000.0,17418950000.0,15639252000.0,26070315000.0,377714512000.0,133800505000.0,243914007000.0,128310460000.0,79972195000.0,53964851000.0,5490045000.0,21388117000.0,28.9804,4.1405,25.9555,4.8927,8.156,
AGHOL,2023,yfinance_unofficial,2026-06-10,542096480000.0,143221008000.0,29988199000.0,28353841000.0,44228522000.0,565676096000.0,212010781000.0,353665315000.0,202392838000.0,104005489000.0,92994164000.0,9617943000.0,18163689000.0,30.4899,5.0124,26.4198,5.2304,8.1588,
AGHOL,2024,yfinance_unofficial,2026-06-10,731026518000.0,214464702000.0,43949522000.0,6780925000.0,64700265000.0,711657719000.0,261964075000.0,449693644000.0,256971146000.0,133733833000.0,117169724000.0,4992929000.0,11171987000.0,5.7873,0.9528,29.3375,0.9276,8.8506,
AGHOL,2025,yfinance_unofficial,2026-06-10,707202498000.0,197625723000.0,37492554000.0,2505918000.0,60659492000.0,683224616000.0,220928042000.0,462296574000.0,235538153000.0,129560246000.0,114124561000.0,-14610111000.0,39538880000.0,2.1958,0.3668,27.9447,0.3543,8.5774,
AKBNK,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
AKBNK,2022,yfinance_unofficial,2026-06-10,111772356000.0,,,60025707000.0,,1147294180000.0,,,,,153605870000.0,,,39.0777,5.2319,,53.7035,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
AKBNK,2023,yfinance_unofficial,2026-06-10,150431745000.0,,,66496235000.0,,1904769488000.0,,,,,211218707000.0,,,31.4822,3.491,,44.2036,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
AKBNK,2024,yfinance_unofficial,2026-06-10,160261678000.0,,,42366116000.0,,2653105361000.0,,,,,240371214000.0,,102089034000.0,17.6253,1.5969,,26.4356,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
AKBNK,2025,yfinance_unofficial,2026-06-10,230092544000.0,,,57254821000.0,,3558949685000.0,,,,,310187272000.0,,238682425000.0,18.4581,1.6088,,24.8834,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
AKENR,2022,yfinance_unofficial,2026-06-10,32710184429.0,2468746611.0,2178204159.0,2104990445.0,2190044038.0,37804276653.0,6200984047.0,31603292606.0,5572785941.0,22292618669.0,9938872043.0,628198106.0,16888933180.0,21.1794,5.5681,7.5473,6.4353,6.6953,
AKENR,2023,yfinance_unofficial,2026-06-10,34177798000.0,2173184000.0,1839515000.0,7276486000.0,1863874000.0,46128535000.0,3648463000.0,42480072000.0,11872978000.0,14358404000.0,19897153000.0,-8224515000.0,20678826000.0,36.5705,15.7744,6.3585,21.2901,5.4535,
AKENR,2024,yfinance_unofficial,2026-06-10,33357390000.0,547340000.0,-173428000.0,-4316487000.0,-105900000.0,45491853000.0,4070982000.0,41420871000.0,5110235000.0,22520202000.0,17861416000.0,-1039253000.0,21392418000.0,-24.1665,-9.4885,1.6408,-12.9401,-0.3175,
AKENR,2025,yfinance_unofficial,2026-06-10,22710366000.0,-544687000.0,-1342888000.0,-5367909000.0,-1292838000.0,39721587000.0,2040109000.0,37681478000.0,13663018000.0,13185789000.0,12872780000.0,-11622909000.0,21070334000.0,-41.6997,-13.5138,-2.3984,-23.6364,-5.6927,
AKSA,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
AKSA,2022,yfinance_unofficial,2026-06-10,34464528000.0,5634270000.0,4506865000.0,4563874000.0,5540448000.0,25372757000.0,10614003000.0,14758754000.0,7158954000.0,2194866000.0,16018937000.0,3455049000.0,1290298000.0,28.4905,17.9873,16.348,13.2422,16.0758,
AKSA,2023,yfinance_unofficial,2026-06-10,34553569000.0,5707077000.0,4149741000.0,2385110000.0,5849746000.0,36097130000.0,14110637000.0,21986493000.0,9948059000.0,1987972000.0,24161099000.0,4162578000.0,188275000.0,9.8717,6.6075,16.5166,6.9026,16.9295,
AKSA,2024,yfinance_unofficial,2026-06-10,37122843000.0,5570492000.0,3597016000.0,1487755000.0,3597269000.0,46640665000.0,16498493000.0,30142172000.0,12993396000.0,2394257000.0,31253012000.0,3505097000.0,4214820000.0,4.7604,3.1898,15.0056,4.0077,9.6902,
AKSA,2025,yfinance_unofficial,2026-06-10,32444223000.0,4928192000.0,2451352000.0,4016418000.0,2922221000.0,68473459000.0,20701906000.0,47771553000.0,24421489000.0,10414186000.0,32724193000.0,-3719583000.0,21070143000.0,12.2735,5.8657,15.1897,12.3795,9.0069,
AKSEN,2022,yfinance_unofficial,2026-06-10,87101671476.0,10591006620.0,9728070330.0,5581565888.0,9907016996.0,55203703045.0,18806748271.0,36396954774.0,13155653440.0,9633839984.0,29529938061.0,5651094831.0,12492772473.0,18.9014,10.1109,12.1594,6.4081,11.3741,
AKSEN,2023,yfinance_unofficial,2026-06-10,50781705280.0,10417597562.0,9261143132.0,7935940468.0,9262700387.0,80573109117.0,24675465416.0,55897643701.0,19875543884.0,10690626674.0,45810491186.0,4799921532.0,17980802587.0,17.3234,9.8494,20.5145,15.6276,18.2402,
AKSEN,2024,yfinance_unofficial,2026-06-10,41412051265.0,8754153044.0,7064842424.0,2627313791.0,7066245613.0,108342312386.0,19390517893.0,88951794493.0,28422249759.0,21632889134.0,53201282506.0,-9031731866.0,35212459041.0,4.9384,2.425,21.1391,6.3443,17.0633,
AKSEN,2025,yfinance_unofficial,2026-06-10,42385314361.0,10544729999.0,9109343349.0,3652368390.0,9112320700.0,129590455824.0,19990857936.0,109599597888.0,26237982428.0,38221621378.0,59559759570.0,-6247124492.0,47547471537.0,6.1323,2.8184,24.8783,8.6171,21.4988,
ALARK,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
ALARK,2022,yfinance_unofficial,2026-06-10,12271876777.0,1659947579.0,840958817.0,16706224701.0,880934953.0,51831923975.0,14786673218.0,37045250757.0,12322880517.0,1820669399.0,35004659540.0,2463792701.0,,47.7257,32.2315,13.5264,136.1342,7.1785,
