ticker,year,source,retrieved_at,revenue,gross_profit,operating_income,net_income,ebitda,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,roe,roa,gross_margin,net_margin,ebitda_margin
AKSA,2022,yfinance_unofficial,2026-06-10,34464528000.0,5634270000.0,4506865000.0,4563874000.0,5540448000.0,25372757000.0,10614003000.0,14758754000.0,7158954000.0,2194866000.0,16018937000.0,3455049000.0,1290298000.0,28.4905,17.9873,16.348,13.2422,16.0758
AKSA,2023,yfinance_unofficial,2026-06-10,34553569000.0,5707077000.0,4149741000.0,2385110000.0,5849746000.0,36097130000.0,14110637000.0,21986493000.0,9948059000.0,1987972000.0,24161099000.0,4162578000.0,188275000.0,9.8717,6.6075,16.5166,6.9026,16.9295
AKSA,2024,yfinance_unofficial,2026-06-10,37122843000.0,5570492000.0,3597016000.0,1487755000.0,3597269000.0,46640665000.0,16498493000.0,30142172000.0,12993396000.0,2394257000.0,31253012000.0,3505097000.0,4214820000.0,4.7604,3.1898,15.0056,4.0077,9.6902
AKSA,2025,yfinance_unofficial,2026-06-10,32444223000.0,4928192000.0,2451352000.0,4016418000.0,2922221000.0,68473459000.0,20701906000.0,47771553000.0,24421489000.0,10414186000.0,32724193000.0,-3719583000.0,21070143000.0,12.2735,5.8657,15.1897,12.3795,9.0069
AKSEN,2022,yfinance_unofficial,2026-06-10,87101671476.0,10591006620.0,9728070330.0,5581565888.0,9907016996.0,55203703045.0,18806748271.0,36396954774.0,13155653440.0,9633839984.0,29529938061.0,5651094831.0,12492772473.0,18.9014,10.1109,12.1594,6.4081,11.3741
AKSEN,2023,yfinance_unofficial,2026-06-10,50781705280.0,10417597562.0,9261143132.0,7935940468.0,9262700387.0,80573109117.0,24675465416.0,55897643701.0,19875543884.0,10690626674.0,45810491186.0,4799921532.0,17980802587.0,17.3234,9.8494,20.5145,15.6276,18.2402
AKSEN,2024,yfinance_unofficial,2026-06-10,41412051265.0,8754153044.0,7064842424.0,2627313791.0,7066245613.0,108342312386.0,19390517893.0,88951794493.0,28422249759.0,21632889134.0,53201282506.0,-9031731866.0,35212459041.0,4.9384,2.425,21.1391,6.3443,17.0633
AKSEN,2025,yfinance_unofficial,2026-06-10,42385314361.0,10544729999.0,9109343349.0,3652368390.0,9112320700.0,129590455824.0,19990857936.0,109599597888.0,26237982428.0,38221621378.0,59559759570.0,-6247124492.0,47547471537.0,6.1323,2.8184,24.8783,8.6171,21.4988
DOHOL,2022,yfinance_unofficial,2026-06-10,29606003000.0,4912373000.0,1101931000.0,232125000.0,1475948000.0,83805566000.0,50649588000.0,33155978000.0,24909607000.0,8186092000.0,41258107000.0,25739981000.0,6887073000.0,0.5626,0.277,16.5925,0.784,4.9853
DOHOL,2023,yfinance_unofficial,2026-06-10,75706159000.0,13649782000.0,6081740000.0,-210182000.0,6636666000.0,134875359000.0,83683505000.0,51191854000.0,40433632000.0,14605186000.0,69918034000.0,43249873000.0,11550508000.0,-0.3006,-0.1558,18.0299,-0.2776,8.7663
DOHOL,2024,yfinance_unofficial,2026-06-10,104887460000.0,13406927000.0,132015000.0,5650978000.0,1332091000.0,182814128000.0,108926523000.0,73887605000.0,63921930000.0,21980777000.0,83018793000.0,45004593000.0,4515481000.0,6.8069,3.0911,12.7822,5.3877,1.27
DOHOL,2025,yfinance_unofficial,2026-06-10,93680389000.0,16979941000.0,3937392000.0,1792287000.0,5189804000.0,184596193000.0,114038312000.0,70557881000.0,72453052000.0,14772372000.0,83723185000.0,41585260000.0,25890013000.0,2.1407,0.9709,18.1254,1.9132,5.5399
EKGYO,2022,yfinance_unofficial,2026-06-10,21220172000.0,5098391000.0,3564731000.0,905060000.0,3644833000.0,120939658000.0,110688971000.0,10250687000.0,53866415000.0,5529184000.0,61544059000.0,56822556000.0,130165000.0,1.4706,0.7484,24.0262,4.2651,17.1763
EKGYO,2023,yfinance_unofficial,2026-06-10,41141913000.0,12262863000.0,7175706000.0,-5882442000.0,7350587000.0,175395726000.0,164388932000.0,11006794000.0,89842559000.0,2924627000.0,82628540000.0,74546373000.0,,-7.1191,-3.3538,29.8063,-14.2979,17.8664
