# Manual 2024 balance-sheet correction. NEVER fabricate.
# The 2024 export shifted columns (ratios under money columns and vice-versa).
# Fill REAL 2024 values from KAP / annual reports. Money fields in TL (large),
# ratio fields as ratios (small). Only year=2024 rows are used; only balance-sheet
# fields are overridden — income/profitability come from the corrected yearly file.
ticker,year,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,current_ratio,leverage_ratio,financial_debt_ratio,net_debt_to_ebitda
AEFES,2024,,,,,,,,,,,,
ARCLK,2024,,,,,,,,,,,,
ASELS,2024,,,,,,,,,,,,
ASTOR,2024,,,,,,,,,,,,
BIMAS,2024,,,,,,,,,,,,
BRSAN,2024,,,,,,,,,,,,
BTCIM,2024,,,,,,,,,,,,
CANTE,2024,,,,,,,,,,,,
CCOLA,2024,,,,,,,,,,,,
CIMSA,2024,,,,,,,,,,,,
DOAS,2024,,,,,,,,,,,,
DSTKF,2024,,,,,,,,,,,,
ENKAI,2024,,,,,,,,,,,,
EREGL,2024,,,,,,,,,,,,
FROTO,2024,,,,,,,,,,,,
GUBRF,2024,,,,,,,,,,,,
HEKTS,2024,,,,,,,,,,,,
KONTR,2024,,,,,,,,,,,,
KRDMD,2024,,,,,,,,,,,,
KUYAS,2024,,,,,,,,,,,,
MAVI,2024,,,,,,,,,,,,
MGROS,2024,,,,,,,,,,,,
MIATK,2024,,,,,,,,,,,,
OYAKC,2024,,,,,,,,,,,,
PASEU,2024,,,,,,,,,,,,
PETKM,2024,,,,,,,,,,,,
PGSUS,2024,,,,,,,,,,,,
SASA,2024,,,,,,,,,,,,
SISE,2024,,,,,,,,,,,,
TAVHL,2024,,,,,,,,,,,,
TCELL,2024,,,,,,,,,,,,
THYAO,2024,,,,,,,,,,,,
TOASO,2024,,,,,,,,,,,,
TRALT,2024,,,,,,,,,,,,
TRMET,2024,,,,,,,,,,,,
TSKB,2024,,,,,,,,,,,,
TTKOM,2024,,,,,,,,,,,,
TUPRS,2024,,,,,,,,,,,,
TURSG,2024,,,,,,,,,,,,
ULKER,2024,,,,,,,,,,,,
