ticker,year,market_cap,enterprise_value,pe,pb,ev_ebitda,year_end_close,shares_outstanding,source_price,source_shares,source_financials,validation_status,validation_notes
AEFES,2020,1122021710.2271,56506065710.2271,0.1253,0.0103,1.4289,1.89497,592105263.0,yahoo_chart_api,manual,modeling_dataset,accepted,
AEFES,2021,1555815789.0588,56939859789.0588,1.4563,0.0143,8.3925,2.6276,592105263.0,yahoo_chart_api,manual,modeling_dataset,accepted,
AEFES,2022,3791121512.1469,59175165512.1469,1.1056,0.0349,3.535,6.402783,592105263.0,yahoo_chart_api,manual,modeling_dataset,accepted,
AEFES,2023,7916055392.6259,63300099392.6259,0.3577,0.0729,2.3327,13.369338,592105263.0,yahoo_chart_api,manual,modeling_dataset,accepted,
AEFES,2024,11156774207.5512,,0.8506,,,18.842552,592105263.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
AEFES,2025,92250242738.5578,147634286738.5578,10.2994,0.8494,3.7969,15.580041,5921052630.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ARCLK,2020,18261104705.1405,188042213705.1405,6.4123,0.2491,30.9571,27.024334,675728205.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ARCLK,2021,30914578217.5859,200695687217.5859,10.0874,0.4217,22.637,45.750019,675728205.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ARCLK,2022,74527874005.3112,244308983005.3112,17.2332,1.0166,19.701,110.292679,675728205.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ARCLK,2023,86831074342.5,256612183342.5,11.3248,1.1844,13.597,128.5,675728205.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ARCLK,2024,95953405110.0,,56.808,,,142.0,675728205.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
ARCLK,2025,68248548705.0,238029657705.0,,0.9309,7.0537,101.0,675728205.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
ASELS,2020,20499438960.0,42583525960.0,4.6075,0.0729,7.6563,8.990982,2280000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ASELS,2021,23573109240.0,45657196240.0,3.3059,0.0839,4.6351,10.339083,2280000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ASELS,2022,70511929800.0,92596016800.0,5.9176,0.2509,7.3031,30.926285,2280000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ASELS,2023,204513332400.0,226597419400.0,28.0521,0.7276,7.9856,44.849415,4560000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ASELS,2024,330179317200.0,,21.5821,,,72.407745,4560000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
ASELS,2025,1056551986320.0,1078636073320.0,35.2778,3.759,19.7211,231.699997,4560000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ASTOR,2020,,,,,,,200000000.0,,manual,modeling_dataset,rejected,missing_price
ASTOR,2021,,,,,,,850000000.0,,manual,modeling_dataset,rejected,missing_price
ASTOR,2022,,,,,,,998000000.0,,manual,modeling_dataset,rejected,missing_price
ASTOR,2023,91581416108.0,83656671408.0,19.9162,2.7518,14.3332,91.764946,998000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ASTOR,2024,112142993542.0,,22.3175,,,112.367729,998000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
ASTOR,2025,116666201996.0,108741457296.0,15.2129,3.5056,10.036,116.900002,998000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
