ticker,year,shares_outstanding,source,notes,confidence,capital_basis,nominal_value,status
AEFES,2020,592105263.0,user provided merged capital research,stable issued capital until 2025 bonus issue,medium,issued_capital,1,carried_forward
AEFES,2021,592105263.0,user provided merged capital research,stable issued capital until 2025 bonus issue,medium,issued_capital,1,carried_forward
AEFES,2022,592105263.0,user provided merged capital research,stable issued capital until 2025 bonus issue,medium,issued_capital,1,carried_forward
AEFES,2023,592105263.0,user provided merged capital research,stable issued capital until 2025 bonus issue,medium,issued_capital,1,carried_forward
AEFES,2024,592105263.0,user provided merged capital research,stable issued capital until 2025 bonus issue,medium,issued_capital,1,carried_forward
AEFES,2025,5921052630.0,user provided merged capital research,2025 900 percent bonus issue,medium,issued_capital,1,carried_forward
ARCLK,2020,675728205.0,user provided merged capital research,stable issued capital 2020-2025; registered capital ceiling changed only,medium,issued_capital,1,carried_forward
ARCLK,2021,675728205.0,user provided merged capital research,stable issued capital 2020-2025; registered capital ceiling changed only,medium,issued_capital,1,carried_forward
ARCLK,2022,675728205.0,user provided merged capital research,stable issued capital 2020-2025; registered capital ceiling changed only,medium,issued_capital,1,carried_forward
ARCLK,2023,675728205.0,user provided merged capital research,stable issued capital 2020-2025; registered capital ceiling changed only,medium,issued_capital,1,carried_forward
ARCLK,2024,675728205.0,user provided merged capital research,stable issued capital 2020-2025; registered capital ceiling changed only,medium,issued_capital,1,carried_forward
ARCLK,2025,675728205.0,user provided merged capital research,stable issued capital 2020-2025; registered capital ceiling changed only,medium,issued_capital,1,carried_forward
ASELS,2020,2280000000.0,user provided merged capital research,2020 year-end capital after 100 percent bonus issue,medium,issued_capital,1,carried_forward
ASELS,2021,2280000000.0,user provided merged capital research,2020 year-end capital after 100 percent bonus issue,medium,issued_capital,1,carried_forward
ASELS,2022,2280000000.0,user provided merged capital research,2020 year-end capital after 100 percent bonus issue,medium,issued_capital,1,carried_forward
ASELS,2023,4560000000.0,user provided merged capital research,2023 100 percent bonus issue; included because earlier research had specific SPK/KAP timing,low,issued_capital,1,carried_forward
ASELS,2024,4560000000.0,user provided merged capital research,2023 100 percent bonus issue; included because earlier research had specific SPK/KAP timing,low,issued_capital,1,carried_forward
ASELS,2025,4560000000.0,user provided merged capital research,2023 100 percent bonus issue; included because earlier research had specific SPK/KAP timing,low,issued_capital,1,carried_forward
ASTOR,2020,200000000.0,user provided merged capital research,pre-IPO capital from user research,low,issued_capital,1,carried_forward
ASTOR,2021,850000000.0,user provided merged capital research,2021 pre-IPO internal capital increase,medium,issued_capital,1,carried_forward
ASTOR,2022,998000000.0,user provided merged capital research,IPO capital after new share issue; no 2020 row because listed later/source uncertain,low,issued_capital,1,carried_forward
ASTOR,2023,998000000.0,user provided merged capital research,IPO capital after new share issue; no 2020 row because listed later/source uncertain,low,issued_capital,1,carried_forward
ASTOR,2024,998000000.0,user provided merged capital research,IPO capital after new share issue; no 2020 row because listed later/source uncertain,low,issued_capital,1,carried_forward
ASTOR,2025,998000000.0,user provided merged capital research,IPO capital after new share issue; no 2020 row because listed later/source uncertain,low,issued_capital,1,carried_forward
BIMAS,2020,607200000.0,user provided merged capital research,issued capital before later capital reduction,medium,issued_capital,1,carried_forward
BIMAS,2021,607200000.0,user provided merged capital research,issued capital before later capital reduction,medium,issued_capital,1,carried_forward
BIMAS,2022,607200000.0,user provided merged capital research,issued capital before later capital reduction,medium,issued_capital,1,carried_forward
BIMAS,2023,607200000.0,user provided merged capital research,issued capital before later capital reduction,medium,issued_capital,1,carried_forward
BIMAS,2024,607200000.0,user provided merged capital research,issued capital before later capital reduction,medium,issued_capital,1,carried_forward
BIMAS,2025,600000000.0,user provided merged capital research,capital reduction to 600m; 2026 bonus issue excluded from 2020-2025 model,low,issued_capital,1,carried_forward
BRSAN,2020,141771582.28,user provided merged capital research,stable around 141.8m after merger-related minor increase,medium,issued_capital,1,carried_forward
BRSAN,2021,141771582.28,user provided merged capital research,stable around 141.8m after merger-related minor increase,medium,issued_capital,1,carried_forward
BRSAN,2022,141771582.28,user provided merged capital research,stable around 141.8m after merger-related minor increase,medium,issued_capital,1,carried_forward
BRSAN,2023,141771582.28,user provided merged capital research,stable around 141.8m after merger-related minor increase,medium,issued_capital,1,carried_forward
BRSAN,2024,141771582.28,user provided merged capital research,stable around 141.8m after merger-related minor increase,medium,issued_capital,1,carried_forward
BRSAN,2025,141771582.28,user provided merged capital research,stable around 141.8m after merger-related minor increase,medium,issued_capital,1,carried_forward
BTCIM,2020,180000000.0,user provided merged capital research,issued capital before 2025 bonus issue,medium,issued_capital,1,carried_forward
BTCIM,2021,180000000.0,user provided merged capital research,issued capital before 2025 bonus issue,medium,issued_capital,1,carried_forward
BTCIM,2022,180000000.0,user provided merged capital research,issued capital before 2025 bonus issue,medium,issued_capital,1,carried_forward
BTCIM,2023,180000000.0,user provided merged capital research,issued capital before 2025 bonus issue,medium,issued_capital,1,carried_forward
BTCIM,2024,180000000.0,user provided merged capital research,issued capital before 2025 bonus issue,medium,issued_capital,1,carried_forward
BTCIM,2025,5580000000.0,user provided merged capital research,2025 3000 percent bonus issue,medium,issued_capital,1,carried_forward
CANTE,2020,252410000.0,user provided merged capital research,pre-IPO capital from user research,low,issued_capital,1,carried_forward
CANTE,2021,320000000.0,user provided merged capital research,IPO/post-offering capital; no 2020 row because reliable listed-year data missing,low,issued_capital,1,carried_forward
CANTE,2022,320000000.0,user provided merged capital research,IPO/post-offering capital; no 2020 row because reliable listed-year data missing,low,issued_capital,1,carried_forward
CANTE,2023,320000000.0,user provided merged capital research,IPO/post-offering capital; no 2020 row because reliable listed-year data missing,low,issued_capital,1,carried_forward
CANTE,2024,320000000.0,user provided merged capital research,IPO/post-offering capital; no 2020 row because reliable listed-year data missing,low,issued_capital,1,carried_forward
CANTE,2025,7000000000.0,user provided merged capital research,capital reached 7bn by 2025/2026 process; exact effective year should be checked,low,issued_capital,1,carried_forward
CCOLA,2020,254370782.0,user provided merged capital research,issued capital before 2024 bonus issue,medium,issued_capital,1,carried_forward
CCOLA,2021,254370782.0,user provided merged capital research,issued capital before 2024 bonus issue,medium,issued_capital,1,carried_forward
CCOLA,2022,254370782.0,user provided merged capital research,issued capital before 2024 bonus issue,medium,issued_capital,1,carried_forward
CCOLA,2023,254370782.0,user provided merged capital research,issued capital before 2024 bonus issue,medium,issued_capital,1,carried_forward
CCOLA,2024,2798078602.0,user provided merged capital research,2024 1000 percent bonus issue,medium,issued_capital,1,carried_forward
CCOLA,2025,2798078602.0,user provided merged capital research,2024 1000 percent bonus issue,medium,issued_capital,1,carried_forward
CIMSA,2020,135084442.0,user provided merged capital research,issued capital before 2023 bonus issue,medium,issued_capital,1,carried_forward
CIMSA,2021,135084442.0,user provided merged capital research,issued capital before 2023 bonus issue,medium,issued_capital,1,carried_forward
CIMSA,2022,135084442.0,user provided merged capital research,issued capital before 2023 bonus issue,medium,issued_capital,1,carried_forward
CIMSA,2023,945591094.0,user provided merged capital research,2023 600 percent bonus issue,medium,issued_capital,1,carried_forward
CIMSA,2024,945591094.0,user provided merged capital research,2023 600 percent bonus issue,medium,issued_capital,1,carried_forward
CIMSA,2025,945591094.0,user provided merged capital research,2023 600 percent bonus issue,medium,issued_capital,1,carried_forward
DOAS,2020,220000000.0,user provided merged capital research,stable issued capital 2020-2025,medium,issued_capital,1,carried_forward
DOAS,2021,220000000.0,user provided merged capital research,stable issued capital 2020-2025,medium,issued_capital,1,carried_forward
