# Manual shares-outstanding fallback (per ticker-year). NEVER fabricate.
# PREFERRED: use the capital-EVENT file instead (data/trusted_raw/shares_outstanding_events.csv) and run `make shares`.
# shares_outstanding MUST be TOTAL issued/paid-in shares, NOT free float.
# A stable share count may repeat across years — document it in 'notes'.
# capital_basis: issued_capital | paid_in_capital | share_count | unknown | free_float_only
ticker,year,shares_outstanding,source,notes,confidence,capital_basis,nominal_value
AEFES,2020,,,,,issued_capital,1
AEFES,2021,,,,,issued_capital,1
AEFES,2022,,,,,issued_capital,1
AEFES,2023,,,,,issued_capital,1
AEFES,2024,,,,,issued_capital,1
AEFES,2025,,,,,issued_capital,1
ARCLK,2020,,,,,issued_capital,1
ARCLK,2021,,,,,issued_capital,1
ARCLK,2022,,,,,issued_capital,1
ARCLK,2023,,,,,issued_capital,1
ARCLK,2024,,,,,issued_capital,1
ARCLK,2025,,,,,issued_capital,1
ASELS,2020,,,,,issued_capital,1
ASELS,2021,,,,,issued_capital,1
ASELS,2022,,,,,issued_capital,1
ASELS,2023,,,,,issued_capital,1
ASELS,2024,,,,,issued_capital,1
ASELS,2025,,,,,issued_capital,1
ASTOR,2020,,,,,issued_capital,1
ASTOR,2021,,,,,issued_capital,1
ASTOR,2022,,,,,issued_capital,1
ASTOR,2023,,,,,issued_capital,1
ASTOR,2024,,,,,issued_capital,1
ASTOR,2025,,,,,issued_capital,1
BIMAS,2020,,,,,issued_capital,1
BIMAS,2021,,,,,issued_capital,1
BIMAS,2022,,,,,issued_capital,1
BIMAS,2023,,,,,issued_capital,1
BIMAS,2024,,,,,issued_capital,1
BIMAS,2025,,,,,issued_capital,1
BRSAN,2020,,,,,issued_capital,1
BRSAN,2021,,,,,issued_capital,1
BRSAN,2022,,,,,issued_capital,1
BRSAN,2023,,,,,issued_capital,1
BRSAN,2024,,,,,issued_capital,1
BRSAN,2025,,,,,issued_capital,1
BTCIM,2020,,,,,issued_capital,1
BTCIM,2021,,,,,issued_capital,1
BTCIM,2022,,,,,issued_capital,1
BTCIM,2023,,,,,issued_capital,1
BTCIM,2024,,,,,issued_capital,1
BTCIM,2025,,,,,issued_capital,1
CANTE,2020,,,,,issued_capital,1
CANTE,2021,,,,,issued_capital,1
CANTE,2022,,,,,issued_capital,1
CANTE,2023,,,,,issued_capital,1
CANTE,2024,,,,,issued_capital,1
CANTE,2025,,,,,issued_capital,1
CCOLA,2020,,,,,issued_capital,1
CCOLA,2021,,,,,issued_capital,1
CCOLA,2022,,,,,issued_capital,1
CCOLA,2023,,,,,issued_capital,1
CCOLA,2024,,,,,issued_capital,1
CCOLA,2025,,,,,issued_capital,1
CIMSA,2020,,,,,issued_capital,1
CIMSA,2021,,,,,issued_capital,1
CIMSA,2022,,,,,issued_capital,1
CIMSA,2023,,,,,issued_capital,1
CIMSA,2024,,,,,issued_capital,1
CIMSA,2025,,,,,issued_capital,1
DOAS,2020,,,,,issued_capital,1
DOAS,2021,,,,,issued_capital,1
DOAS,2022,,,,,issued_capital,1
DOAS,2023,,,,,issued_capital,1
DOAS,2024,,,,,issued_capital,1
DOAS,2025,,,,,issued_capital,1
DSTKF,2020,,,,,issued_capital,1
DSTKF,2021,,,,,issued_capital,1
DSTKF,2022,,,,,issued_capital,1
DSTKF,2023,,,,,issued_capital,1
DSTKF,2024,,,,,issued_capital,1
DSTKF,2025,,,,,issued_capital,1
ENKAI,2020,,,,,issued_capital,1
ENKAI,2021,,,,,issued_capital,1
ENKAI,2022,,,,,issued_capital,1
ENKAI,2023,,,,,issued_capital,1
ENKAI,2024,,,,,issued_capital,1
ENKAI,2025,,,,,issued_capital,1
EREGL,2020,,,,,issued_capital,1
EREGL,2021,,,,,issued_capital,1
EREGL,2022,,,,,issued_capital,1
EREGL,2023,,,,,issued_capital,1
EREGL,2024,,,,,issued_capital,1
EREGL,2025,,,,,issued_capital,1
FROTO,2020,,,,,issued_capital,1
FROTO,2021,,,,,issued_capital,1
FROTO,2022,,,,,issued_capital,1
FROTO,2023,,,,,issued_capital,1
FROTO,2024,,,,,issued_capital,1
FROTO,2025,,,,,issued_capital,1
GUBRF,2020,,,,,issued_capital,1
GUBRF,2021,,,,,issued_capital,1
GUBRF,2022,,,,,issued_capital,1
GUBRF,2023,,,,,issued_capital,1
GUBRF,2024,,,,,issued_capital,1
GUBRF,2025,,,,,issued_capital,1
HEKTS,2020,,,,,issued_capital,1
HEKTS,2021,,,,,issued_capital,1
HEKTS,2022,,,,,issued_capital,1
HEKTS,2023,,,,,issued_capital,1
HEKTS,2024,,,,,issued_capital,1
HEKTS,2025,,,,,issued_capital,1
KONTR,2020,,,,,issued_capital,1
KONTR,2021,,,,,issued_capital,1
KONTR,2022,,,,,issued_capital,1
KONTR,2023,,,,,issued_capital,1
KONTR,2024,,,,,issued_capital,1
KONTR,2025,,,,,issued_capital,1
KRDMD,2020,,,,,issued_capital,1
KRDMD,2021,,,,,issued_capital,1
KRDMD,2022,,,,,issued_capital,1
KRDMD,2023,,,,,issued_capital,1
KRDMD,2024,,,,,issued_capital,1
KRDMD,2025,,,,,issued_capital,1
KUYAS,2020,,,,,issued_capital,1
KUYAS,2021,,,,,issued_capital,1
KUYAS,2022,,,,,issued_capital,1
KUYAS,2023,,,,,issued_capital,1
KUYAS,2024,,,,,issued_capital,1
KUYAS,2025,,,,,issued_capital,1
MAVI,2020,,,,,issued_capital,1
MAVI,2021,,,,,issued_capital,1
MAVI,2022,,,,,issued_capital,1
MAVI,2023,,,,,issued_capital,1
MAVI,2024,,,,,issued_capital,1
MAVI,2025,,,,,issued_capital,1
MGROS,2020,,,,,issued_capital,1
MGROS,2021,,,,,issued_capital,1
MGROS,2022,,,,,issued_capital,1
MGROS,2023,,,,,issued_capital,1
MGROS,2024,,,,,issued_capital,1
MGROS,2025,,,,,issued_capital,1
MIATK,2020,,,,,issued_capital,1
MIATK,2021,,,,,issued_capital,1
MIATK,2022,,,,,issued_capital,1
MIATK,2023,,,,,issued_capital,1
MIATK,2024,,,,,issued_capital,1
MIATK,2025,,,,,issued_capital,1
OYAKC,2020,,,,,issued_capital,1
OYAKC,2021,,,,,issued_capital,1
OYAKC,2022,,,,,issued_capital,1
OYAKC,2023,,,,,issued_capital,1
OYAKC,2024,,,,,issued_capital,1
OYAKC,2025,,,,,issued_capital,1
PASEU,2020,,,,,issued_capital,1
PASEU,2021,,,,,issued_capital,1
PASEU,2022,,,,,issued_capital,1
PASEU,2023,,,,,issued_capital,1
PASEU,2024,,,,,issued_capital,1
PASEU,2025,,,,,issued_capital,1
PETKM,2020,,,,,issued_capital,1
PETKM,2021,,,,,issued_capital,1
PETKM,2022,,,,,issued_capital,1
PETKM,2023,,,,,issued_capital,1
PETKM,2024,,,,,issued_capital,1
PETKM,2025,,,,,issued_capital,1
PGSUS,2020,,,,,issued_capital,1
PGSUS,2021,,,,,issued_capital,1
PGSUS,2022,,,,,issued_capital,1
PGSUS,2023,,,,,issued_capital,1
PGSUS,2024,,,,,issued_capital,1
PGSUS,2025,,,,,issued_capital,1
SASA,2020,,,,,issued_capital,1
SASA,2021,,,,,issued_capital,1
SASA,2022,,,,,issued_capital,1
SASA,2023,,,,,issued_capital,1
SASA,2024,,,,,issued_capital,1
SASA,2025,,,,,issued_capital,1
SISE,2020,,,,,issued_capital,1
SISE,2021,,,,,issued_capital,1
SISE,2022,,,,,issued_capital,1
SISE,2023,,,,,issued_capital,1
SISE,2024,,,,,issued_capital,1
SISE,2025,,,,,issued_capital,1
TAVHL,2020,,,,,issued_capital,1
TAVHL,2021,,,,,issued_capital,1
TAVHL,2022,,,,,issued_capital,1
TAVHL,2023,,,,,issued_capital,1
TAVHL,2024,,,,,issued_capital,1
TAVHL,2025,,,,,issued_capital,1
TCELL,2020,,,,,issued_capital,1
TCELL,2021,,,,,issued_capital,1
TCELL,2022,,,,,issued_capital,1
TCELL,2023,,,,,issued_capital,1
TCELL,2024,,,,,issued_capital,1
TCELL,2025,,,,,issued_capital,1
THYAO,2020,,,,,issued_capital,1
THYAO,2021,,,,,issued_capital,1
THYAO,2022,,,,,issued_capital,1
THYAO,2023,,,,,issued_capital,1
THYAO,2024,,,,,issued_capital,1
THYAO,2025,,,,,issued_capital,1
TOASO,2020,,,,,issued_capital,1
TOASO,2021,,,,,issued_capital,1
TOASO,2022,,,,,issued_capital,1
TOASO,2023,,,,,issued_capital,1
TOASO,2024,,,,,issued_capital,1
TOASO,2025,,,,,issued_capital,1
TRALT,2020,,,,,issued_capital,1
TRALT,2021,,,,,issued_capital,1
TRALT,2022,,,,,issued_capital,1
TRALT,2023,,,,,issued_capital,1
TRALT,2024,,,,,issued_capital,1
TRALT,2025,,,,,issued_capital,1
TRMET,2020,,,,,issued_capital,1
TRMET,2021,,,,,issued_capital,1
TRMET,2022,,,,,issued_capital,1
TRMET,2023,,,,,issued_capital,1
TRMET,2024,,,,,issued_capital,1
TRMET,2025,,,,,issued_capital,1
TSKB,2020,,,,,issued_capital,1
TSKB,2021,,,,,issued_capital,1
TSKB,2022,,,,,issued_capital,1
TSKB,2023,,,,,issued_capital,1
TSKB,2024,,,,,issued_capital,1
TSKB,2025,,,,,issued_capital,1
TTKOM,2020,,,,,issued_capital,1
TTKOM,2021,,,,,issued_capital,1
TTKOM,2022,,,,,issued_capital,1
TTKOM,2023,,,,,issued_capital,1
TTKOM,2024,,,,,issued_capital,1
TTKOM,2025,,,,,issued_capital,1
TUPRS,2020,,,,,issued_capital,1
TUPRS,2021,,,,,issued_capital,1
TUPRS,2022,,,,,issued_capital,1
TUPRS,2023,,,,,issued_capital,1
TUPRS,2024,,,,,issued_capital,1
TUPRS,2025,,,,,issued_capital,1
TURSG,2020,,,,,issued_capital,1
TURSG,2021,,,,,issued_capital,1
TURSG,2022,,,,,issued_capital,1
TURSG,2023,,,,,issued_capital,1
TURSG,2024,,,,,issued_capital,1
TURSG,2025,,,,,issued_capital,1
ULKER,2020,,,,,issued_capital,1
ULKER,2021,,,,,issued_capital,1
ULKER,2022,,,,,issued_capital,1
ULKER,2023,,,,,issued_capital,1
ULKER,2024,,,,,issued_capital,1
ULKER,2025,,,,,issued_capital,1
