source_id,provider,document_or_announcement_id,document_title,publication_date,effective_date,coverage_year,coverage_period,ticker_or_share_code,company_name,event_type,index_code,scheduled_or_extraordinary,source_url_or_stable_id,access_date_utc,raw_filename,raw_sha256,raw_bytes,raw_storage_class,archive_symbol,identity_status,provenance_status,notes
EV-001,Borsa Istanbul,endeks-duyurulari-archive,"Endeks Duyurulari (official index-announcement archive, filterable by date, announcement type and index group)",NA,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,NA,NA,https://www.borsaistanbul.com/endeksler/endeks-duyurulari,2026-08-24T03:03:26Z,bist_endeks_duyurulari_archive_2026-08-24.html,61df7328d81214a053477fd5603548b4541f08425a5482c94f702e2e29e3326f,664557,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_endeks_duyurulari_archive_2026-08-24.html,NA,ACQUIRED,Archive mechanism. Single page embeds 585 rows dated 21.06.2013-20.08.2026 with a five-value announcement-type taxonomy: Kural Seti Degisiklikleri; Endeks Iceriklerinde Yapilan Donemsel Degisiklikler; Endeks Iceriklerinde Yapilan Donem Ici Degisiklikler; Endekslere ve Referans Oranlara Iliskin Diger Duyurular; Islem Goren Sirketlere Yonelik Endeks Duyurulari. Filtering is client-side over the embedded rows; no server query parameters were used.
EV-002,Borsa Istanbul,duyurular-listing-page0,"Duyurular (general announcement listing), page 0 of 83",NA,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,NA,NA,https://www.borsaistanbul.com/duyurular?page=0,2026-08-24T03:03:26Z,bist_duyurular_listing_page0_2026-08-24.html,6e65ea7bb9ae7e025ed7360b9fe0f99d8db8cb08e2ea64eb7d12e7b0d59e0ddb,88016,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_duyurular_listing_page0_2026-08-24.html,NA,ACQUIRED,"General announcement archive. Drupal pager, 25 items per page, 84 pages, 2098 unique items dated 02.01.2012-20.08.2026. Item ids are stable numeric node ids at /duyuru/<id>/<slug>. This stream is NOT the complete regulatory announcement stream: of the numbered 2021/NN circular series it carries only 12 items up to 2021/76."
EV-003,Borsa Istanbul,duyurular-listing-page83,"Duyurular (general announcement listing), page 83 of 83",NA,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,NA,NA,https://www.borsaistanbul.com/duyurular?page=83,2026-08-24T03:03:26Z,bist_duyurular_listing_page83_2026-08-24.html,dacb54dc8e9429fd2ecb610c8fc0fa3ebdda7d656c3e55693e838fafe9e5242e,90032,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_duyurular_listing_page83_2026-08-24.html,NA,ACQUIRED,Last pager page; establishes the archive floor at 02.01.2012.
EV-004,Borsa Istanbul,bist-pay-endeksleri-temel-kurallari-2019-ekim.pdf,BIST Pay Endeksleri Temel Kurallari (Ekim 2019),2019-10-28,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,XU030;XU050;XU100,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari-2019-ekim.pdf,2026-08-24T03:03:26Z,bist_pay_endeksleri_temel_kurallari_2019-10.pdf,d27643d23c885d746d04dd0295629002b72a49cf736d3bd80042b5b1edea72f3,516630,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2019-10.pdf,NA,ACQUIRED,"Rulebook in force for the 2019Q4-2020 window. Art. 2.15 defines the four index periods; art. 2.16 requires periodic changes to be announced at least 10 calendar days before the index period starts; art. 6 defines the periodic add/remove bands (XU030 25/35, XU050 45/55, XU100 95/105) and the equal-in-equal-out rule and mandates 3 reserve shares; art. 7 defines NON-PERIODIC (donemsel olmayan) changes and their effective dates, all triggered by KAP disclosures."
EV-005,Borsa Istanbul,bist-pay-endeksleri-temel-kurallari-20-aralik-2018-dyr.pdf,BIST Pay Endeksleri Temel Kurallari (20 Aralik 2018),2018-12-20,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,XU030;XU050;XU100,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari-20-aralik-2018-dyr.pdf,2026-08-24T03:03:26Z,bist_pay_endeksleri_temel_kurallari_2018-12-20.pdf,8e2fa3a48fd8c1de390d8d25d0d9e52bb3b9bc6b4de384a5cc782acf15bfd78a,518511,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2018-12-20.pdf,NA,ACQUIRED,"Period-correct rulebook for the 2018-2019 window, retained and reachable from announcement node 12305."
EV-006,Borsa Istanbul,11419,BIST Pay Endeksleri Temel Kurallari yeni pazar yapisi degisiklikleri ile guncellendi,2019-10-28,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,XU030;XU050;XU100,NA,https://www.borsaistanbul.com/duyuru/11419/bist-pay-endeksleri-temel-kurallari-yeni-pazar-yapisi-degisiklikleri-ile-bist-likit-banka-bist-banka-disi-likit-10-ve-bist-gip-endekslerinin-hesaplanmaya-baslamasi-nedeniyle-guncellendi,2026-08-24T03:03:26Z,bist_duyuru_11419_2019-10-28.html,ed363051c3d790226b2f1383680d74c6b77f7e38118b45f9e6ce7f8d22b1da70,91359,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/events/bist_duyuru_11419_2019-10-28.html,NA,ACQUIRED,"Announces the Ekim 2019 rulebook; cites circular 2019/68. Changes the XU030/XU050/XU100 selection universe to Yildiz Pazar, moves the XU100 band from 90-110 to 95-105, and sets the reserve count to 3."
EV-007,Borsa Istanbul,12574,BIST Pay Endeksleri Temel Kurallari BIST Likit Banka ve BIST Banka Disi Likit 10 uyumu icin guncellendi,2020-01-20,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,XU030;XU050;XU100,NA,https://www.borsaistanbul.com/duyuru/12574/bist-pay-endeksleri-temel-kurallari-bist-likit-banka-ve-bist-banka-disi-likit-10-endekslerinin-borsa-yatirim-fonlarina-iliskin-esaslar-tebligine-uyumlu-hale-getirilmesi-amaciyla,2026-08-24T03:03:26Z,bist_duyuru_12574_2020-01-20.html,fd85daad66c0878f042d9f184a43e131940fdf5f736c683e708745c3c2892a5e,73642,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/events/bist_duyuru_12574_2020-01-20.html,NA,ACQUIRED,Effective 03.02.2020 per the announcement text. Does not alter XU030/XU050/XU100 membership rules.
EV-008,Borsa Istanbul,12592,BIST Pay Endeksleri Temel Kurallari guncellendi,2020-09-18,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,XU030;XU050;XU100,NA,https://www.borsaistanbul.com/duyuru/12592/bist-pay-endeksleri-temel-kurallari-guncellendi,2026-08-24T03:03:26Z,bist_duyuru_12592_2020-09-18.html,46e7d0e3dae6079c98ae918a88df7de3a3dd511fc4f3dc10b3a31e47db752644,73775,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/events/bist_duyuru_12592_2020-09-18.html,NA,ACQUIRED,Renames the rulebook to BIST Piyasa Degeri Agirlikli Pay Endeksleri Temel Kurallari and adapts it to the new Pay Piyasasi market structure; ends BIST GIP calculation from 01.10.2020.
EV-009,Borsa Istanbul,12305,BIST Pay Endeksleri Temel Kurallari guncellendi,2018-12-20,NA,NA,NA,NA,NA,OTHER_MEMBERSHIP_RELEVANT,XU030;XU050;XU100,NA,https://www.borsaistanbul.com/duyuru/12305/bist-pay-endeksleri-temel-kurallari-guncellendi,2026-08-24T03:03:26Z,bist_duyuru_12305_2018-12-20.html,35928550bf2da20e1fbf5b60b3acfe740afe3b459d818ed4a5fe2c18b7c5e83f,72809,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/events/bist_duyuru_12305_2018-12-20.html,NA,ACQUIRED,Switches the periodic valuation to the median of adjusted prices over the 6-month valuation window.
EV-010,Borsa Istanbul,11596,2016 yılı ikinci üç aylık dönemi için BIST Pay Endeksleri kapsamında yer alacak paylarda değişiklik yapılmıştır,2016-03-22,2016-04-01,2016,2016Q2,NA,NA,REVIEW_SCHEDULE,XU030;XU050;XU100,SCHEDULED,https://www.borsaistanbul.com/duyuru/11596/2016-yili-ikinci-uc-aylik-donemi-icin-bist-pay-endeksleri-kapsaminda-yer-alacak-paylarda-degisiklik-yapilmistir,2026-08-24T03:03:26Z,bist_duyuru_11596_2016-03-22.html,615b830dc564d21e4484f368254db24827d8359277410e07ad678bfd13b2c486,78826,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/events/bist_duyuru_11596_2016-03-22.html,NA,ACQUIRED,"Periodic review announcement. The document states the index period explicitly as 2016-04-01 to 2016-06-30; effective_date is that stated period start, not the publication date. Additions and removals are equal in number in every transcribed table, consistent with rulebook art. 6(c)/(d)."
EV-011,Borsa Istanbul,11596,2016 yılı ikinci üç aylık dönemi için BIST Pay Endeksleri kapsamında yer alacak paylarda değişiklik yapılmıştır,2016-03-22,2016-04-01,2016,2016Q2,SKBNK,ŞEKERBANK,ADD,XU100,SCHEDULED,https://www.borsaistanbul.com/duyuru/11596/2016-yili-ikinci-uc-aylik-donemi-icin-bist-pay-endeksleri-kapsaminda-yer-alacak-paylarda-degisiklik-yapilmistir,2026-08-24T03:03:26Z,bist_duyuru_11596_2016-03-22.html,615b830dc564d21e4484f368254db24827d8359277410e07ad678bfd13b2c486,78826,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/events/bist_duyuru_11596_2016-03-22.html,INSUFFICIENT_IDENTITY_EVIDENCE,ACQUIRED,Itemised in the periodic review announcement; effective at the stated index-period start.
EV-012,Borsa Istanbul,11596,2016 yılı ikinci üç aylık dönemi için BIST Pay Endeksleri kapsamında yer alacak paylarda değişiklik yapılmıştır,2016-03-22,2016-04-01,2016,2016Q2,AYEN,AYEN ENERJİ,ADD,XU100,SCHEDULED,https://www.borsaistanbul.com/duyuru/11596/2016-yili-ikinci-uc-aylik-donemi-icin-bist-pay-endeksleri-kapsaminda-yer-alacak-paylarda-degisiklik-yapilmistir,2026-08-24T03:03:26Z,bist_duyuru_11596_2016-03-22.html,615b830dc564d21e4484f368254db24827d8359277410e07ad678bfd13b2c486,78826,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/events/bist_duyuru_11596_2016-03-22.html,INSUFFICIENT_IDENTITY_EVIDENCE,ACQUIRED,Itemised in the periodic review announcement; effective at the stated index-period start.
EV-013,Borsa Istanbul,11596,2016 yılı ikinci üç aylık dönemi için BIST Pay Endeksleri kapsamında yer alacak paylarda değişiklik yapılmıştır,2016-03-22,2016-04-01,2016,2016Q2,SNGYO,SİNPAŞ GMYO,REMOVE,XU100,SCHEDULED,https://www.borsaistanbul.com/duyuru/11596/2016-yili-ikinci-uc-aylik-donemi-icin-bist-pay-endeksleri-kapsaminda-yer-alacak-paylarda-degisiklik-yapilmistir,2026-08-24T03:03:26Z,bist_duyuru_11596_2016-03-22.html,615b830dc564d21e4484f368254db24827d8359277410e07ad678bfd13b2c486,78826,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/events/bist_duyuru_11596_2016-03-22.html,INSUFFICIENT_IDENTITY_EVIDENCE,ACQUIRED,Itemised in the periodic review announcement; effective at the stated index-period start.
