source_id,provider,kap_disclosure_id,document_title,company_name,ticker_or_share_code,coverage_year,search_period_start,search_period_end,publication_date,publication_time,event_date,event_type,rulebook_version,rulebook_article,rulebook_trigger_class,membership_consequence,effective_date_rule,derived_effective_date,reserve_implication,identity_status,source_url_or_stable_id,access_date_utc,raw_filename,raw_sha256,raw_bytes,raw_storage_class,archive_symbol,search_status,provenance_status,notes
KT-001,KAP (Kamuyu Aydinlatma Platformu),NA,KAP Detayli Sorgulama (disclosure query surface) - filter semantics and result cap,NA,NA,NA,NA,NA,NA,NA,NA,OTHER_RULE_TRIGGER,NA,NA,SEARCH_MECHANISM,NA,NA,NA,NA,NA,https://www.kap.org.tr/tr/bildirim-sorgu,2026-08-24T11:20:00Z,kap_bildirim_sorgu_2026-08-24.html,92c37bf6c32e705b8a0f4c050365f06faf7c116c7195b1981f0ecfd1c9f6023e,1171917,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/kap-triggers/kap_bildirim_sorgu_2026-08-24.html,TRIGGER_EVENT_FOUND,ACQUIRED,"First-party disclosure archive. Query is a POST to /tr/api/disclosure/members/byCriteria with fields fromDate, toDate, memberType, mkkMemberOidList, inactiveMkkMemberOidList, disclosureClass, subjectList, mainSector, sector, marketOid, index, year, term, period. Date filter is inclusive YYYY-MM-DD. disclosureClass takes ALL/FR/ODA/DUY/DG. subjectList takes stable subjectOid values. The page states its own result cap verbatim: ""Arama sonuclari 2000 bildirim ile sinirlidir"" (results limited to 2000 notifications). Every 2017-2020 query used here returned far fewer than 2000 rows, so the cap did not bind. Individual disclosures are addressable by stable numeric disclosureIndex at /tr/Bildirim/<id>, as rendered PDF at /tr/api/BildirimPdf/<id>, and as structured JSON at /tr/api/notification/attachment-detail/<id>."
KT-002,KAP,NA,"KAP disclosure-topic taxonomy (disclosureTopic list, 202 subjects with stable subjectOid)",NA,NA,NA,NA,NA,NA,NA,NA,OTHER_RULE_TRIGGER,NA,NA,SEARCH_MECHANISM,NA,NA,NA,NA,NA,https://www.kap.org.tr/tr/bildirim-sorgu,2026-08-24T11:20:00Z,kap_query_disclosure_topics.json,a1a241293eb57ad1e6c46ff33dcc19e81e9b15590df3eb50743b6744d5214973,28769,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/kap-triggers/kap_query_disclosure_topics.json,TRIGGER_EVENT_FOUND,ACQUIRED,"Taxonomy published by the source, not imposed by this audit. Trigger-relevant subjects and their subjectOid: Endeks Sirketlerinde Degisiklik 8aca490d4fda2d58014fda4e141f0112 (DUY); BIST Pay Endeksleri 8aca490d50286f620150287a60580089 (DUY); Pazar Degisikligi 8aca490d50666e6d0150669b6de101c4 (DUY); Kottan Cikarma/Islem Gormekten Men Etme 8aca490d504b7afa01504bbef9be02d1 (DUY); Pay Islem Sirasi Kapatma / Acma 4028328c5fc60da7016007a0bd395db0 (DUY); Borsa Istanbul A.S. Duyurusu 8aca490d507059f201507066aea600e4 (DUY); Borsa Genel Mudurlugu Duyurusu 8aca490d50287c47015028a4cfbb0169 (DUY); Birlesme 4028328d5988e2630159d5ff460b200c (ODA); Bolunme 4028328d5988e2630159d5e90bc21e73 (ODA); ABCD Grubu Listeleri 8aca490d504b7afa01504bb52a42022b (DUY); Kod Degisikligi 8aca490d4fdf3818014fdf3c703e0018 (DUY)."
KT-003,KAP,NA,Fail-closed handling of ambiguous archive results (query-client behaviour finding),NA,NA,NA,NA,NA,NA,NA,NA,OTHER_RULE_TRIGGER,NA,NA,SEARCH_MECHANISM,NA,NA,NA,NA,NA,https://www.kap.org.tr/tr/api/disclosure/members/byCriteria,2026-08-24T11:20:00Z,NA,NA,NA,NA,NA,SEARCH_INCOMPLETE,ACQUIRED,"CRITICAL METHOD FINDING. Under throttling the endpoint answers with HTTP 200-class handling but an EMPTY body, which a naive client parses as zero results. An empty body is therefore NOT evidence of zero disclosures. Every count reported in this audit was produced by a client that accepts a result only when the body parses as a JSON array, and retries up to six times with increasing backoff otherwise; a query that never returns an array is recorded SEARCH_INCOMPLETE and is never converted into a negative."
KT-004,Borsa Istanbul,NA,BIST Pay Endeksleri Temel Kurallari - Kasim 2015,NA,NA,NA,NA,NA,2015-11-27,NA,NA,OTHER_RULE_TRIGGER,Kasim 2015,"6, 7, 8.3",PERIOD_CORRECT_RULE_AUTHORITY,NA,See notes - art. 7 chapeau and per-article timing rules,NA,NA,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari-kasim-2015-.pdf,2026-08-24T11:20:00Z,bist_pay_endeksleri_temel_kurallari_2015-11.pdf,5de4c3a62df63296bc3be6984df44ad5998e6aed000ab0e800ee7f016970f8b6,427609,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2015-11.pdf,TRIGGER_EVENT_FOUND,ACQUIRED,"Announced by node 11703 (27.11.2015). In force for the whole of 2017 and until 08.06.2018. Art. 6(d): reserves BIST 30=2, BIST 50=3, BIST 100=5, Temettu 25=5. Art. 7 chapeau: a disclosure must be on KAP by 16:30 on the business day before the event date (12:00 on a half day), otherwise the change takes effect on the SECOND business day after KAP publication. Art. 7.1 permanent closure / closure >5 consecutive business days / transfer to Yakin Izleme Pazari removes the share from every index it is in, effective on the day of the closure or transfer, and BIST 30/50/100/Temettu 25 vacancies are filled from reserves. Art. 7.2 transfer to any other market removes from the old market index and adds to the new one, with BIST 30/50/100 vacancies filled from reserves. Art. 7.3 A/B/C/D list transitions, same day, reserves fill. Art. 7.4 a share removed under 7.1-7.3 is not re-admitted before the period ends. Art. 7.6 IPO fast entry on the 5th trading day. Art. 8.3: any matter NOT regulated by these Rules is determined and announced by the Borsa Istanbul General Directorate."
KT-005,Borsa Istanbul,NA,BIST Pay Endeksleri Temel Kurallari - Mayis 2018,NA,NA,NA,NA,NA,2018-06-08,NA,NA,OTHER_RULE_TRIGGER,Mayis 2018,"6, 7, 8.3",PERIOD_CORRECT_RULE_AUTHORITY,NA,See notes - art. 7 chapeau and per-article timing rules,NA,NA,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari-mayis-2018.pdf,2026-08-24T11:20:00Z,bist_pay_endeksleri_temel_kurallari_2018-05.pdf,c4f73f650d3a2c592843d58b9c3e3459df6bfbb13f029ce4872aa1f202e02d16,443662,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2018-05.pdf,TRIGGER_EVENT_FOUND,ACQUIRED,Announced by node 12514 (08.06.2018). Art. 6(e)/7.1-7.4 unchanged in substance from Kasim 2015 for BIST 100. Reserves still 5 for BIST 100.
KT-006,Borsa Istanbul,NA,BIST Pay Endeksleri Temel Kurallari - Haziran 2018,NA,NA,NA,NA,NA,2018-07-05,NA,NA,OTHER_RULE_TRIGGER,Haziran 2018,"6, 7, 8.3",PERIOD_CORRECT_RULE_AUTHORITY,NA,See notes - art. 7 chapeau and per-article timing rules,NA,NA,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari-haziran-2018.pdf,2026-08-24T11:20:00Z,bist_pay_endeksleri_temel_kurallari_2018-06.pdf,7ec1813493cccbd6f99030e8200e532b8d0834b74a29e545ceb764e92a45cfc4,442851,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2018-06.pdf,TRIGGER_EVENT_FOUND,ACQUIRED,Announced by node 12485 (05.07.2018). Art. 6(e)/7.1-7.4 unchanged in substance for BIST 100.
KT-007,Borsa Istanbul,NA,BIST Pay Endeksleri Temel Kurallari - Aralik 2018 (10.12.2018),NA,NA,NA,NA,NA,2018-12-10,NA,NA,OTHER_RULE_TRIGGER,Aralik 2018 (10.12.2018),"6, 7, 8.3",PERIOD_CORRECT_RULE_AUTHORITY,NA,See notes - art. 7 chapeau and per-article timing rules,NA,NA,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari_aralik-2018.pdf,2026-08-24T11:20:00Z,bist_pay_endeksleri_temel_kurallari_2018-12-10.pdf,1788888034eb3a770811d7de796d42115bfcf2fefbc00aa835b341fbab192fbf,485935,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2018-12-10.pdf,TRIGGER_EVENT_FOUND,ACQUIRED,Announced by node 12289 (10.12.2018).
KT-008,Borsa Istanbul,NA,BIST Pay Endeksleri Temel Kurallari - Aralik 2018 (20.12.2018),NA,NA,NA,NA,NA,2018-12-20,NA,NA,OTHER_RULE_TRIGGER,Aralik 2018 (20.12.2018),"6, 7, 8.3",PERIOD_CORRECT_RULE_AUTHORITY,NA,See notes - art. 7 chapeau and per-article timing rules,NA,NA,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari-20-aralik-2018-dyr.pdf,2026-08-24T11:20:00Z,bist_pay_endeksleri_temel_kurallari_2018-12-20.pdf,8e2fa3a48fd8c1de390d8d25d0d9e52bb3b9bc6b4de384a5cc782acf15bfd78a,518511,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2018-12-20.pdf,TRIGGER_EVENT_FOUND,ACQUIRED,"Announced by node 12305 (20.12.2018). Already archived by FI-DATA-EXPAND-04B-EVENT-01 and reused here, not reacquired. BIST 100 periodic thresholds are ranks 90/110 in this version. Art. 7.11/7.12 merger and transfer; art. 7.16 demerger."
KT-009,Borsa Istanbul,NA,BIST Pay Endeksleri Temel Kurallari - Ekim 2019,NA,NA,NA,NA,NA,2019-10-28,NA,NA,OTHER_RULE_TRIGGER,Ekim 2019,"6, 7, 8.3",PERIOD_CORRECT_RULE_AUTHORITY,NA,See notes - art. 7 chapeau and per-article timing rules,NA,NA,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari-2019-ekim.pdf,2026-08-24T11:20:00Z,bist_pay_endeksleri_temel_kurallari_2019-10.pdf,d27643d23c885d746d04dd0295629002b72a49cf736d3bd80042b5b1edea72f3,516630,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2019-10.pdf,TRIGGER_EVENT_FOUND,ACQUIRED,"Announced by node 11419 (28.10.2019, circular 2019/68). Already archived by FI-DATA-EXPAND-04B-EVENT-01 and reused here. MATERIAL CHANGES inside the candidate window: BIST 100 periodic thresholds move from 90/110 to 95/105; reserves become 3 per index for BIST 30/50/100/Temettu 25; the A/B/C/D list-transition trigger (old art. 7.3) is REMOVED; the reserve-replacement sentence is removed from art. 7.2; art. 7.1 gains BIST Banka Disi Likit 10. Art. 7 chapeau adds the deeming rule that a late disclosure counts as published on the following business day. Art. 8.3 unchanged."
KT-010,Borsa Istanbul,NA,BIST Pay Endeksleri Temel Kurallari - Nisan 2020,NA,NA,NA,NA,NA,2020-04-06,NA,NA,OTHER_RULE_TRIGGER,Nisan 2020,"6, 7, 8.3",PERIOD_CORRECT_RULE_AUTHORITY,NA,See notes - art. 7 chapeau and per-article timing rules,NA,NA,NA,https://www.borsaistanbul.com/files/bist-pay-endeksleri-temel-kurallari2020.pdf,2026-08-24T11:20:00Z,bist_pay_endeksleri_temel_kurallari_2020-04.pdf,8f39085454dae72793f0d398846c9fefd596978884974bee30277040335aacd6,671368,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/bist_pay_endeksleri_temel_kurallari_2020-04.pdf,TRIGGER_EVENT_FOUND,ACQUIRED,"Announced by node 12553 (06.04.2020). This is the version Borsa Istanbul cites by article number in the 20.05.2020 disclosure (art. 7.11, 7.14, 7.16)."
