feature,nonnull_rows,nonnull_rate,years_with_data,tickers_with_data
equity,321,1.0,5,81
net_income,321,1.0,5,81
net_margin,321,1.0,5,81
revenue,321,1.0,5,81
roa,321,1.0,5,81
roe,321,1.0,5,81
total_assets,321,1.0,5,81
benchmark_same_year_return_pct,307,0.9564,5,80
price_adjclose_t,307,0.9564,5,80
price_data_available,307,0.9564,5,80
price_drawdown_from_3y_high_pct,307,0.9564,5,80
price_history_years_available,307,0.9564,5,80
current_assets,288,0.8972,5,70
ebitda,288,0.8972,5,70
ebitda_margin,288,0.8972,5,70
gross_margin,288,0.8972,5,70
gross_profit,288,0.8972,5,70
long_term_liabilities,288,0.8972,5,70
non_current_assets,288,0.8972,5,70
operating_income,288,0.8972,5,70
short_term_liabilities,288,0.8972,5,70
working_capital,288,0.8972,5,70
net_debt,267,0.8318,5,69
price_momentum_1y_pct,266,0.8287,4,78
price_vs_bist100_1y_pct,266,0.8287,4,78
price_momentum_2y_pct,225,0.7009,3,77
current_ratio,200,0.6231,5,40
ebitda_growth_pct,200,0.6231,5,40
financial_debt_ratio,200,0.6231,5,40
gross_profit_growth_pct,200,0.6231,5,40
leverage_ratio,200,0.6231,5,40
net_debt_to_ebitda,200,0.6231,5,40
net_income_growth_pct,200,0.6231,5,40
operating_income_growth_pct,200,0.6231,5,40
revenue_growth_pct,200,0.6231,5,40
enterprise_value,186,0.5794,5,39
market_cap,186,0.5794,5,39
pb_ratio,186,0.5794,5,39
ev_ebitda,175,0.5452,5,38
pe_ratio,156,0.486,5,37
