feature,mean_abs_spearman,std_abs_spearman,splits_observed
price_history_years_available,0.4655,0.1239,3
benchmark_same_year_return_pct,0.4324,0.2668,3
price_data_available,0.4324,0.2668,3
price_drawdown_from_3y_high_pct,0.3079,0.1679,3
market_cap,0.2748,0.037,3
pb_ratio,0.2615,0.0182,3
gross_profit_growth_pct,0.1961,0.0495,3
ebitda_growth_pct,0.186,0.0403,3
price_momentum_2y_pct,0.1351,0.015,2
pe_ratio,0.1347,0.0172,3
ebitda,0.134,0.1492,3
gross_profit,0.1337,0.1547,3
revenue,0.1309,0.1544,3
net_debt_to_ebitda,0.1287,0.0624,3
operating_income_growth_pct,0.1276,0.0476,3
price_adjclose_t,0.1253,0.0875,3
current_ratio,0.1215,0.0506,3
roe,0.116,0.0911,3
operating_income,0.1133,0.1314,3
ev_ebitda,0.1062,0.1133,3
working_capital,0.1041,0.1108,3
total_assets,0.0964,0.0894,3
current_assets,0.0954,0.1118,3
short_term_liabilities,0.0868,0.0785,3
net_margin,0.084,0.009,3
revenue_growth_pct,0.0788,0.0378,3
enterprise_value,0.0778,0.0445,3
equity,0.0754,0.0904,3
net_income,0.0748,0.0755,3
financial_debt_ratio,0.0682,0.0551,3
long_term_liabilities,0.0621,0.0528,3
price_momentum_1y_pct,0.0603,0.0508,3
price_vs_bist100_1y_pct,0.0603,0.0508,3
net_income_growth_pct,0.0578,0.0709,3
non_current_assets,0.0575,0.0573,3
leverage_ratio,0.042,0.0078,3
roa,0.0366,0.0382,3
ebitda_margin,0.0354,0.0152,3
gross_margin,0.0228,0.0244,3
net_debt,0.0142,0.0053,3
