split,model,kind,mae,rmse,spearman,precision_at_5,top_bucket_avg_return,median_actual_return,directional_acc
test_2023,baseline_equal_weight,baseline,62.84,100.96,0.095,0.0,49.43,37.7,0.475
test_2023,baseline_rank_score,baseline,62.84,100.96,0.095,0.0,49.43,37.7,0.475
test_2023,robust_rank_aggregation,baseline,62.83,100.96,0.088,0.0,42.41,37.7,0.487
test_2023,linear_regression,ml,169.82,219.12,-0.044,0.2,58.65,37.7,0.5
test_2023,ridge,ml,136.05,170.97,-0.008,0.2,74.09,37.7,0.525
test_2023,lasso,ml,148.91,198.47,0.011,0.2,62.73,37.7,0.525
test_2023,elasticnet,ml,133.66,161.83,-0.099,0.2,74.09,37.7,0.45
test_2023,random_forest,ml,183.64,215.88,-0.151,0.0,-3.32,37.7,0.425
test_2023,gradient_boosting,ml,176.18,215.14,-0.1,0.0,-0.8,37.7,0.45
test_2024,baseline_equal_weight,baseline,50.02,66.25,0.212,0.0,71.93,35.05,0.6
test_2024,baseline_rank_score,baseline,50.02,66.25,0.212,0.0,71.93,35.05,0.6
test_2024,robust_rank_aggregation,baseline,50.02,66.25,0.195,0.0,62.12,35.05,0.55
test_2024,linear_regression,ml,74.58,101.59,0.083,0.0,-0.95,35.05,0.5
test_2024,ridge,ml,72.54,92.4,0.218,0.0,27.33,35.05,0.6
test_2024,lasso,ml,77.38,102.97,0.139,0.0,6.64,35.05,0.55
test_2024,elasticnet,ml,71.68,85.66,0.057,0.0,-0.85,35.05,0.575
test_2024,random_forest,ml,186.86,213.46,-0.171,0.0,7.67,35.05,0.45
test_2024,gradient_boosting,ml,169.24,196.83,-0.111,0.0,4.97,35.05,0.5
test_2025,baseline_equal_weight,baseline,31.2,59.96,0.142,0.2,55.45,5.6,0.5
test_2025,baseline_rank_score,baseline,31.2,59.96,0.142,0.2,55.45,5.6,0.5
test_2025,robust_rank_aggregation,baseline,31.2,59.97,0.1,0.0,7.07,5.6,0.475
test_2025,linear_regression,ml,66.41,86.15,0.108,0.0,34.15,5.6,0.55
test_2025,ridge,ml,80.17,92.7,0.068,0.0,4.35,5.6,0.575
test_2025,lasso,ml,74.52,88.45,0.119,0.0,4.35,5.6,0.55
test_2025,elasticnet,ml,79.05,89.23,-0.018,0.0,3.19,5.6,0.575
test_2025,random_forest,ml,207.06,224.27,-0.143,0.2,24.13,5.6,0.45
test_2025,gradient_boosting,ml,204.01,229.78,-0.099,0.2,27.98,5.6,0.525
