target,split,model,kind,mae,rmse,spearman,precision_at_5,top_bucket_avg_return,median_actual_return,directional_acc
next_year_return_pct,test_2023,baseline_equal_weight,baseline,82.63,132.24,-0.325,0.0,14.89,44.38,0.35
next_year_return_pct,test_2023,baseline_rank_score,baseline,82.63,132.24,-0.325,0.0,14.89,44.38,0.35
next_year_return_pct,test_2023,linear_regression,ml,142.94,196.64,0.112,0.2,82.19,44.38,0.6
next_year_return_pct,test_2023,ridge,ml,128.3,168.6,0.168,0.4,108.89,44.38,0.65
next_year_return_pct,test_2023,lasso,ml,138.99,192.03,0.135,0.2,82.19,44.38,0.6
next_year_return_pct,test_2023,elasticnet,ml,125.93,158.98,0.118,0.4,108.89,44.38,0.6
next_year_return_pct,test_2023,random_forest,ml,143.22,204.47,-0.124,0.0,14.63,44.38,0.6
next_year_return_pct,test_2024,baseline_equal_weight,baseline,45.97,57.01,0.059,0.0,45.06,35.4,0.45
next_year_return_pct,test_2024,baseline_rank_score,baseline,45.97,57.01,0.059,0.0,45.06,35.4,0.45
next_year_return_pct,test_2024,linear_regression,ml,110.28,141.23,-0.04,0.2,19.95,35.4,0.5
next_year_return_pct,test_2024,ridge,ml,100.07,125.82,0.043,0.2,20.86,35.4,0.5
next_year_return_pct,test_2024,lasso,ml,106.43,136.56,-0.031,0.2,19.95,35.4,0.55
next_year_return_pct,test_2024,elasticnet,ml,95.19,116.56,-0.008,0.0,4.65,35.4,0.55
next_year_return_pct,test_2024,random_forest,ml,105.75,150.73,-0.247,0.0,-8.9,35.4,0.4
next_year_return_pct,test_2025,baseline_equal_weight,baseline,35.2,75.78,-0.029,0.2,42.96,1.64,0.45
next_year_return_pct,test_2025,baseline_rank_score,baseline,35.2,75.78,-0.029,0.2,42.96,1.64,0.45
next_year_return_pct,test_2025,linear_regression,ml,118.95,147.44,0.015,0.0,25.4,1.64,0.45
next_year_return_pct,test_2025,ridge,ml,107.15,121.68,-0.175,0.0,-3.57,1.64,0.5
next_year_return_pct,test_2025,lasso,ml,112.23,131.86,-0.113,0.0,4.42,1.64,0.4
next_year_return_pct,test_2025,elasticnet,ml,104.46,116.17,-0.299,0.0,-3.57,1.64,0.4
next_year_return_pct,test_2025,random_forest,ml,107.4,125.6,-0.272,0.4,107.21,1.64,0.35
next_year_excess_return_vs_bist100,test_2023,baseline_equal_weight,baseline,70.75,118.67,-0.325,0.0,-17.07,12.42,0.35
next_year_excess_return_vs_bist100,test_2023,baseline_rank_score,baseline,70.75,118.67,-0.325,0.0,-17.07,12.42,0.35
next_year_excess_return_vs_bist100,test_2023,linear_regression,ml,111.22,174.39,0.112,0.2,50.23,12.42,0.6
next_year_excess_return_vs_bist100,test_2023,ridge,ml,93.64,142.02,0.168,0.4,76.93,12.42,0.65
next_year_excess_return_vs_bist100,test_2023,lasso,ml,106.79,169.17,0.135,0.2,50.23,12.42,0.6
next_year_excess_return_vs_bist100,test_2023,elasticnet,ml,87.7,130.46,0.118,0.4,76.93,12.42,0.6
next_year_excess_return_vs_bist100,test_2023,random_forest,ml,105.65,165.04,-0.103,0.0,-7.71,12.42,0.6
next_year_excess_return_vs_bist100,test_2024,baseline_equal_weight,baseline,35.34,44.08,0.059,0.0,16.12,6.46,0.45
next_year_excess_return_vs_bist100,test_2024,baseline_rank_score,baseline,35.34,44.08,0.059,0.0,16.12,6.46,0.45
next_year_excess_return_vs_bist100,test_2024,linear_regression,ml,85.63,113.47,-0.04,0.2,-8.99,6.46,0.5
next_year_excess_return_vs_bist100,test_2024,ridge,ml,70.5,93.6,0.043,0.2,-8.08,6.46,0.5
next_year_excess_return_vs_bist100,test_2024,lasso,ml,80.94,107.6,-0.031,0.2,-8.99,6.46,0.55
