surface_id,operator,q,metric_scope,window_condition_id,split,year,model,kind,n,split_count,observed_ic,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_value_two_sided,observed_null_percentile,bonferroni_adjusted_p_value,significant_fwer_0_05,delta_observed_ic,delta_n,delta_split_count,significance_verdict_changed
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2023,test_2023,2023,baseline_equal_weight,baseline,80,,0.094868609229282003,-0.11796577491046324,0.28984796724334499,0.39716028397160286,80.829999999999998,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2024,test_2024,2024,baseline_equal_weight,baseline,80,,0.21179090482887952,-0.011096322529199303,0.41101539512079943,0.059894010598940103,97.290000000000006,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2025,test_2025,2025,baseline_equal_weight,baseline,80,,0.17400375058602907,-0.053275354050549673,0.38528913225135625,0.1250874912508749,94.030000000000001,,,0.031645569620253167,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,pooled,pooled,pooled,,baseline_equal_weight,baseline,240,3,0.16022108821473019,0.035435568714222626,0.27603352825589134,0.010098990100989901,99.439999999999998,,,0.010548523206751065,0,0,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2023,test_2023,2023,baseline_rank_score,baseline,80,,0.094868609229282003,-0.11796577491046324,0.28984796724334499,0.39716028397160286,80.829999999999998,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2024,test_2024,2024,baseline_rank_score,baseline,80,,0.21179090482887952,-0.011096322529199303,0.41101539512079943,0.059894010598940103,97.290000000000006,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2025,test_2025,2025,baseline_rank_score,baseline,80,,0.17400375058602907,-0.053275354050549673,0.38528913225135625,0.1250874912508749,94.030000000000001,,,0.031645569620253167,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,pooled,pooled,pooled,,baseline_rank_score,baseline,240,3,0.16022108821473019,0.035435568714222626,0.27603352825589134,0.010098990100989901,99.439999999999998,,,0.010548523206751065,0,0,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2023,test_2023,2023,elasticnet,ml,80,,-0.098853700301428774,-0.31892937003426003,0.13561707650226654,0.38866113388661133,19.629999999999999,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2024,test_2024,2024,elasticnet,ml,80,,0.057337083919362403,-0.1633500918063501,0.28483849527399113,0.60753924607539245,69.489999999999995,,,0,0,,
