year,row_model,column_model,shared_ranked_ticker_count,rank_spearman,status
2023,baseline_equal_weight,baseline_equal_weight,80,1.0,complete
2023,baseline_equal_weight,baseline_rank_score,80,1.0,complete
2023,baseline_equal_weight,elasticnet,80,-0.4779418659,complete
2023,baseline_equal_weight,gradient_boosting,80,-0.4555065878,complete
2023,baseline_equal_weight,lasso,80,-0.2085794655,complete
2023,baseline_equal_weight,linear_regression,80,-0.2752930145,complete
2023,baseline_equal_weight,random_forest,80,-0.4953732734,complete
2023,baseline_equal_weight,ridge,80,-0.3206985466,complete
2023,baseline_equal_weight,robust_rank_aggregation,80,0.9305505953,complete
2023,baseline_rank_score,baseline_equal_weight,80,1.0,complete
2023,baseline_rank_score,baseline_rank_score,80,1.0,complete
2023,baseline_rank_score,elasticnet,80,-0.4779418659,complete
2023,baseline_rank_score,gradient_boosting,80,-0.4555065878,complete
2023,baseline_rank_score,lasso,80,-0.2085794655,complete
2023,baseline_rank_score,linear_regression,80,-0.2752930145,complete
2023,baseline_rank_score,random_forest,80,-0.4953732734,complete
2023,baseline_rank_score,ridge,80,-0.3206985466,complete
2023,baseline_rank_score,robust_rank_aggregation,80,0.9305505953,complete
2023,elasticnet,baseline_equal_weight,80,-0.4779418659,complete
2023,elasticnet,baseline_rank_score,80,-0.4779418659,complete
2023,elasticnet,elasticnet,80,1.0,complete
2023,elasticnet,gradient_boosting,80,0.6367973189,complete
2023,elasticnet,lasso,80,0.7479371777,complete
2023,elasticnet,linear_regression,80,0.5282700422,complete
2023,elasticnet,random_forest,80,0.7693317472,complete
2023,elasticnet,ridge,80,0.949859353,complete
2023,elasticnet,robust_rank_aggregation,80,-0.5103931164,complete
2023,gradient_boosting,baseline_equal_weight,80,-0.4555065878,complete
2023,gradient_boosting,baseline_rank_score,80,-0.4555065878,complete
2023,gradient_boosting,elasticnet,80,0.6367973189,complete
2023,gradient_boosting,gradient_boosting,80,1.0,complete
2023,gradient_boosting,lasso,80,0.5309320649,complete
2023,gradient_boosting,linear_regression,80,0.4358150879,complete
2023,gradient_boosting,random_forest,80,0.8209117928,complete
2023,gradient_boosting,ridge,80,0.5863144083,complete
2023,gradient_boosting,robust_rank_aggregation,80,-0.5131023362,complete
2023,lasso,baseline_equal_weight,80,-0.2085794655,complete
2023,lasso,baseline_rank_score,80,-0.2085794655,complete
2023,lasso,elasticnet,80,0.7479371777,complete
2023,lasso,gradient_boosting,80,0.5309320649,complete
2023,lasso,lasso,80,1.0,complete
2023,lasso,linear_regression,80,0.8151898734,complete
2023,lasso,random_forest,80,0.6076336594,complete
2023,lasso,ridge,80,0.8613689639,complete
2023,lasso,robust_rank_aggregation,80,-0.2539835236,complete
2023,linear_regression,baseline_equal_weight,80,-0.2752930145,complete
2023,linear_regression,baseline_rank_score,80,-0.2752930145,complete
2023,linear_regression,elasticnet,80,0.5282700422,complete
2023,linear_regression,gradient_boosting,80,0.4358150879,complete
2023,linear_regression,lasso,80,0.8151898734,complete
2023,linear_regression,linear_regression,80,1.0,complete
2023,linear_regression,random_forest,80,0.4670093003,complete
2023,linear_regression,ridge,80,0.5927566807,complete
2023,linear_regression,robust_rank_aggregation,80,-0.2582703642,complete
2023,random_forest,baseline_equal_weight,80,-0.4953732734,complete
2023,random_forest,baseline_rank_score,80,-0.4953732734,complete
2023,random_forest,elasticnet,80,0.7693317472,complete
2023,random_forest,gradient_boosting,80,0.8209117928,complete
2023,random_forest,lasso,80,0.6076336594,complete
2023,random_forest,linear_regression,80,0.4670093003,complete
2023,random_forest,random_forest,80,1.0,complete
2023,random_forest,ridge,80,0.7037312689,complete
2023,random_forest,robust_rank_aggregation,80,-0.5428184731,complete
2023,ridge,baseline_equal_weight,80,-0.3206985466,complete
2023,ridge,baseline_rank_score,80,-0.3206985466,complete
2023,ridge,elasticnet,80,0.949859353,complete
2023,ridge,gradient_boosting,80,0.5863144083,complete
2023,ridge,lasso,80,0.8613689639,complete
2023,ridge,linear_regression,80,0.5927566807,complete
2023,ridge,random_forest,80,0.7037312689,complete
2023,ridge,ridge,80,1.0,complete
2023,ridge,robust_rank_aggregation,80,-0.3732142198,complete
2023,robust_rank_aggregation,baseline_equal_weight,80,0.9305505953,complete
2023,robust_rank_aggregation,baseline_rank_score,80,0.9305505953,complete
2023,robust_rank_aggregation,elasticnet,80,-0.5103931164,complete
2023,robust_rank_aggregation,gradient_boosting,80,-0.5131023362,complete
2023,robust_rank_aggregation,lasso,80,-0.2539835236,complete
2023,robust_rank_aggregation,linear_regression,80,-0.2582703642,complete
2023,robust_rank_aggregation,random_forest,80,-0.5428184731,complete
2023,robust_rank_aggregation,ridge,80,-0.3732142198,complete
2023,robust_rank_aggregation,robust_rank_aggregation,80,1.0,complete
2024,baseline_equal_weight,baseline_equal_weight,80,1.0,complete
2024,baseline_equal_weight,baseline_rank_score,80,1.0,complete
2024,baseline_equal_weight,elasticnet,80,-0.3353961556,complete
2024,baseline_equal_weight,gradient_boosting,80,0.0641940002,complete
2024,baseline_equal_weight,lasso,80,0.2451242382,complete
2024,baseline_equal_weight,linear_regression,80,0.2467885607,complete
2024,baseline_equal_weight,random_forest,80,-0.2191527142,complete
2024,baseline_equal_weight,ridge,80,0.1356305673,complete
2024,baseline_equal_weight,robust_rank_aggregation,80,0.9487042988,complete
2024,baseline_rank_score,baseline_equal_weight,80,1.0,complete
2024,baseline_rank_score,baseline_rank_score,80,1.0,complete
2024,baseline_rank_score,elasticnet,80,-0.3353961556,complete
2024,baseline_rank_score,gradient_boosting,80,0.0641940002,complete
2024,baseline_rank_score,lasso,80,0.2451242382,complete
2024,baseline_rank_score,linear_regression,80,0.2467885607,complete
