split,model,kind,mae,rmse,spearman,precision_at_5,top_bucket_avg_return,median_actual_return,directional_acc
test_2023,baseline_equal_weight,baseline,70.75,118.66,-0.381,0.0,-7.83,12.42,0.4
test_2023,baseline_rank_score,baseline,70.75,118.66,-0.381,0.0,-7.83,12.42,0.4
test_2023,robust_rank_aggregation,baseline,70.76,118.67,-0.328,0.0,0.15,12.42,0.4
test_2023,linear_regression,ml,139.84,191.37,-0.057,0.2,44.86,12.42,0.5
test_2023,ridge,ml,105.28,153.19,0.105,0.2,50.23,12.42,0.65
test_2023,lasso,ml,120.71,181.48,0.051,0.2,29.75,12.42,0.65
test_2023,elasticnet,ml,93.88,136.55,0.116,0.2,50.23,12.42,0.65
test_2023,random_forest,ml,108.31,177.21,-0.035,0.2,20.38,12.42,0.6
test_2023,gradient_boosting,ml,118.07,200.81,-0.047,0.0,-17.33,12.42,0.6
test_2024,baseline_equal_weight,baseline,35.33,44.07,0.055,0.0,3.71,6.46,0.5
test_2024,baseline_rank_score,baseline,35.33,44.07,0.055,0.0,3.71,6.46,0.5
test_2024,robust_rank_aggregation,baseline,35.33,44.08,0.053,0.0,7.22,6.46,0.55
test_2024,linear_regression,ml,99.59,127.94,-0.204,0.2,-2.06,6.46,0.4
test_2024,ridge,ml,65.14,85.76,0.049,0.2,-1.04,6.46,0.45
test_2024,lasso,ml,88.55,114.23,-0.147,0.2,-2.06,6.46,0.4
test_2024,elasticnet,ml,56.68,75.93,-0.006,0.2,-2.72,6.46,0.55
test_2024,random_forest,ml,91.26,128.28,-0.333,0.2,-11.23,6.46,0.35
test_2024,gradient_boosting,ml,103.32,145.32,-0.359,0.0,-24.58,6.46,0.35
test_2025,baseline_equal_weight,baseline,37.47,72.69,0.042,0.2,29.33,-11.0,0.45
test_2025,baseline_rank_score,baseline,37.47,72.69,0.042,0.2,29.33,-11.0,0.45
test_2025,robust_rank_aggregation,baseline,37.49,72.71,-0.023,0.0,-6.36,-11.0,0.5
test_2025,linear_regression,ml,89.45,118.17,-0.091,0.0,4.14,-11.0,0.4
test_2025,ridge,ml,73.26,95.65,-0.269,0.0,-3.85,-11.0,0.35
test_2025,lasso,ml,82.69,107.94,-0.189,0.0,4.14,-11.0,0.4
test_2025,elasticnet,ml,63.2,84.51,-0.299,0.0,-10.54,-11.0,0.45
test_2025,random_forest,ml,67.68,91.32,-0.266,0.2,51.69,-11.0,0.4
test_2025,gradient_boosting,ml,63.95,97.48,-0.228,0.4,76.77,-11.0,0.4
