ticker,feature_year,target_year,frozen_rank,frozen_score,confidence,confidence_label,signal_label,eligibility_status,is_inference,realized_return_available,protocol_identifier,freeze_git_sha,freeze_identifier,service_source_sha256,public_dataset_sha256,training_dataset_sha256,base_dataset_sha256
ASELS,2025,2026,1,0.8305,1.0,high,HIGH,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
TTKOM,2025,2026,2,0.7772,1.0,high,HIGH,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
TAVHL,2025,2026,3,0.7021,1.0,high,HIGH,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
BIMAS,2025,2026,4,0.6832,1.0,high,HIGH,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
ENKAI,2025,2026,5,0.6757,1.0,high,HIGH,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
FROTO,2025,2026,6,0.6406,1.0,high,MEDIUM,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
TRALT,2025,2026,7,0.6398,1.0,high,MEDIUM,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
SISE,2025,2026,8,0.6304,1.0,high,MEDIUM,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
TURSG,2025,2026,9,0.6237,1.0,high,MEDIUM,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
GUBRF,2025,2026,10,0.6207,1.0,high,MEDIUM,eligible_for_ranking,True,False,PREREG-2026-FORWARD-v1,bd9aa71a39e33e62d43197e034e8db86b82df0a5,PREREG-2026-FORWARD-v1:bd9aa71a39e3,7438ab40a47b5a1122ec8079d977bde7b7482a31f90dee0de79fd0f5f0212cb1,891d662f110518508b1474be032e5f4b2274d5c2328f16f56240b4a312914b44,3923888b548e6195b07e37b10efb38d0cd3e005a55070bc798139cda670eda78,97a7808d19fce8f8c09d56ebf4d4252fe51a2fdfff9a93b98c37fa92dc2eef2f
