model,ticker,year,full_pooled_ic,year_full_ic,year_loo_ic,loo_pooled_ic,delta_pooled_ic,abs_delta_pooled_ic,sign,status
baseline_equal_weight,AEFES,2023,0.149672565,0.0948686092,0.1025828282,0.1522439713,0.0025714063,0.0025714063,positive,complete
baseline_equal_weight,AGESA,2023,0.149672565,0.0948686092,0.1026802016,0.1522764291,0.0026038641,0.0026038641,positive,complete
baseline_equal_weight,AGHOL,2023,0.149672565,0.0948686092,0.083862801,0.1460039623,-0.0036686028,0.0036686028,negative,complete
baseline_equal_weight,AKBNK,2023,0.149672565,0.0948686092,0.080844227,0.1449977709,-0.0046747941,0.0046747941,negative,complete
baseline_equal_weight,AKENR,2023,0.149672565,0.0948686092,0.0771683829,0.1437724896,-0.0059000754,0.0059000754,negative,complete
baseline_equal_weight,AKSA,2023,0.149672565,0.0948686092,0.0928698362,0.1490063073,-0.0006662577,0.0006662577,negative,complete
baseline_equal_weight,AKSEN,2023,0.149672565,0.0948686092,0.1065994791,0.153582855,0.00391029,0.00391029,positive,complete
baseline_equal_weight,ALARK,2023,0.149672565,0.0948686092,0.0970082037,0.1503857632,0.0007131982,0.0007131982,positive,complete
baseline_equal_weight,ALBRK,2023,0.149672565,0.0948686092,0.0884636919,0.1475375926,-0.0021349724,0.0021349724,negative,complete
baseline_equal_weight,ANHYT,2023,0.149672565,0.0948686092,0.1053579688,0.1531690182,0.0034964532,0.0034964532,positive,complete
baseline_equal_weight,ARCLK,2023,0.149672565,0.0948686092,0.1019742448,0.1520411102,0.0023685452,0.0023685452,positive,complete
baseline_equal_weight,ASELS,2023,0.149672565,0.0948686092,0.09523114,0.1497934086,0.0001208436,0.0001208436,positive,complete
baseline_equal_weight,ASTOR,2023,0.149672565,0.0948686092,0.1003900949,0.1515130602,0.0018404952,0.0018404952,positive,complete
baseline_equal_weight,BERA,2023,0.149672565,0.0948686092,0.0742471823,0.142798756,-0.006873809,0.006873809,negative,complete
baseline_equal_weight,BIMAS,2023,0.149672565,0.0948686092,0.0838141143,0.1459877334,-0.0036848316,0.0036848316,negative,complete
baseline_equal_weight,BRSAN,2023,0.149672565,0.0948686092,0.0969108304,0.1503533054,0.0006807404,0.0006807404,positive,complete
baseline_equal_weight,BTCIM,2023,0.149672565,0.0948686092,0.1274373768,0.1605288209,0.0108562559,0.0108562559,positive,complete
baseline_equal_weight,CANTE,2023,0.149672565,0.0948686092,0.0747827357,0.1429772738,-0.0066952912,0.0066952912,negative,complete
baseline_equal_weight,CCOLA,2023,0.149672565,0.0948686092,0.0842522944,0.1461337934,-0.0035387716,0.0035387716,negative,complete
baseline_equal_weight,CEMTS,2023,0.149672565,0.0948686092,0.0747827357,0.1429772738,-0.0066952912,0.0066952912,negative,complete
baseline_equal_weight,CIMSA,2023,0.149672565,0.0948686092,0.1026558583,0.1522683147,0.0025957497,0.0025957497,positive,complete
baseline_equal_weight,DEVA,2023,0.149672565,0.0948686092,0.0852990579,0.1464827146,-0.0031898504,0.0031898504,negative,complete
baseline_equal_weight,DOAS,2023,0.149672565,0.0948686092,0.0926994328,0.1489495062,-0.0007230588,0.0007230588,negative,complete
baseline_equal_weight,DOHOL,2023,0.149672565,0.0948686092,0.0874899584,0.1472130147,-0.0024595503,0.0024595503,negative,complete
baseline_equal_weight,DSTKF,2023,0.149672565,0.0948686092,0.0909572235,0.1483687697,-0.0013037953,0.0013037953,negative,complete
baseline_equal_weight,EGEEN,2023,0.149672565,0.0948686092,0.1016821247,0.1519437368,0.0022711718,0.0022711718,positive,complete
baseline_equal_weight,EKGYO,2023,0.149672565,0.0948686092,0.0927724628,0.1489738495,-0.0006987155,0.0006987155,negative,complete
baseline_equal_weight,ENJSA,2023,0.149672565,0.0948686092,0.0944034665,0.1495175174,-0.0001550476,0.0001550476,negative,complete
baseline_equal_weight,ENKAI,2023,0.149672565,0.0948686092,0.1026558583,0.1522683147,0.0025957497,0.0025957497,positive,complete
baseline_equal_weight,EREGL,2023,0.149672565,0.0948686092,0.1100318898,0.1547269919,0.0050544269,0.0050544269,positive,complete
baseline_equal_weight,FROTO,2023,0.149672565,0.0948686092,0.0937705397,0.1493065418,-0.0003660232,0.0003660232,negative,complete
baseline_equal_weight,GARAN,2023,0.149672565,0.0948686092,0.080844227,0.1449977709,-0.0046747941,0.0046747941,negative,complete
baseline_equal_weight,GUBRF,2023,0.149672565,0.0948686092,0.1036295918,0.1525928925,0.0029203275,0.0029203275,positive,complete
baseline_equal_weight,HALKB,2023,0.149672565,0.0948686092,0.0972516371,0.1504669076,0.0007943426,0.0007943426,positive,complete
baseline_equal_weight,HEKTS,2023,0.149672565,0.0948686092,0.1067942258,0.1536477705,0.0039752055,0.0039752055,positive,complete
baseline_equal_weight,ISCTR,2023,0.149672565,0.0948686092,0.0771440396,0.1437643751,-0.0059081899,0.0059081899,negative,complete
baseline_equal_weight,ISGYO,2023,0.149672565,0.0948686092,0.0985661774,0.1509050877,0.0012325227,0.0012325227,positive,complete
baseline_equal_weight,KCHOL,2023,0.149672565,0.0948686092,0.0827916941,0.1456469266,-0.0040256384,0.0040256384,negative,complete
