model,year,ticker,full_descending_rank,times_drawn,bootstrap_draws,top_k,top_k_membership_frequency,rank_p2_5,rank_median,rank_p97_5,status
baseline_equal_weight,2023,AEFES,48,1278,2000,10,0.0,26.0,31.0,36.0,complete
baseline_equal_weight,2023,AGESA,67,1300,2000,10,0.0,37.0,43.0,48.0,complete
baseline_equal_weight,2023,AGHOL,13,1262,2000,10,0.8700475436,6.0,9.0,12.0,complete
baseline_equal_weight,2023,AKBNK,17,1311,2000,10,0.3447749809,8.0,11.0,14.25,complete
baseline_equal_weight,2023,AKENR,65,1255,2000,10,0.0,36.0,42.0,47.0,complete
baseline_equal_weight,2023,AKSA,50,1277,2000,10,0.0,27.0,32.0,37.0,complete
baseline_equal_weight,2023,AKSEN,27,1255,2000,10,0.0023904382,13.0,18.0,22.0,complete
baseline_equal_weight,2023,ALARK,32,1281,2000,10,0.0,16.0,21.0,25.0,complete
baseline_equal_weight,2023,ALBRK,69,1271,2000,10,0.0,38.0,44.0,49.0,complete
baseline_equal_weight,2023,ANHYT,64,1264,2000,10,0.0,36.0,41.0,46.0,complete
baseline_equal_weight,2023,ARCLK,16,1244,2000,10,0.4967845659,7.0,11.0,14.0,complete
baseline_equal_weight,2023,ASELS,7,1281,2000,10,1.0,3.0,5.0,7.0,complete
baseline_equal_weight,2023,ASTOR,46,1273,2000,10,0.0,24.8,30.0,34.2,complete
baseline_equal_weight,2023,BERA,68,1243,2000,10,0.0,38.0,43.0,49.0,complete
baseline_equal_weight,2023,BIMAS,22,1243,2000,10,0.0297666935,10.0,14.0,18.0,complete
baseline_equal_weight,2023,BRSAN,38,1283,2000,10,0.0,19.0,24.0,29.0,complete
baseline_equal_weight,2023,BTCIM,75,1279,2000,10,0.0,42.0,48.0,53.0,complete
baseline_equal_weight,2023,CANTE,62,1282,2000,10,0.0,34.0,40.0,45.0,complete
baseline_equal_weight,2023,CCOLA,25,1282,2000,10,0.0070202808,12.0,16.0,20.0,complete
baseline_equal_weight,2023,CEMTS,70,1252,2000,10,0.0,39.0,45.0,50.0,complete
baseline_equal_weight,2023,CIMSA,47,1246,2000,10,0.0,25.0,30.0,35.0,complete
baseline_equal_weight,2023,DEVA,71,1256,2000,10,0.0,40.0,45.0,51.0,complete
baseline_equal_weight,2023,DOAS,19,1272,2000,10,0.1588050314,8.775,12.0,16.0,complete
baseline_equal_weight,2023,DOHOL,57,1233,2000,10,0.0,31.0,37.0,42.0,complete
baseline_equal_weight,2023,DSTKF,24,1258,2000,10,0.0079491256,11.0,16.0,19.575,complete
baseline_equal_weight,2023,EGEEN,60,1264,2000,10,0.0,33.0,38.0,44.0,complete
baseline_equal_weight,2023,EKGYO,43,1250,2000,10,0.0,23.0,28.0,33.0,complete
baseline_equal_weight,2023,ENJSA,23,1278,2000,10,0.0250391236,10.925,15.0,19.0,complete
baseline_equal_weight,2023,ENKAI,20,1251,2000,10,0.1007194245,9.0,13.0,17.0,complete
baseline_equal_weight,2023,EREGL,11,1291,2000,10,0.99535244,4.0,7.0,10.0,complete
baseline_equal_weight,2023,FROTO,14,1254,2000,10,0.7567783094,6.0,9.0,12.0,complete
baseline_equal_weight,2023,GARAN,18,1272,2000,10,0.2389937107,8.0,12.0,15.0,complete
baseline_equal_weight,2023,GUBRF,34,1257,2000,10,0.0,17.0,22.0,27.0,complete
baseline_equal_weight,2023,HALKB,36,1258,2000,10,0.0,19.0,23.0,28.0,complete
baseline_equal_weight,2023,HEKTS,29,1295,2000,10,0.0007722008,14.0,19.0,23.0,complete
baseline_equal_weight,2023,ISCTR,4,1251,2000,10,1.0,1.0,3.0,4.0,complete
baseline_equal_weight,2023,ISGYO,49,1257,2000,10,0.0,26.0,31.0,37.0,complete
baseline_equal_weight,2023,KCHOL,2,1255,2000,10,1.0,1.0,2.0,2.0,complete
baseline_equal_weight,2023,KONTR,35,1257,2000,10,0.0,18.0,23.0,27.0,complete
baseline_equal_weight,2023,KRDMD,59,1293,2000,10,0.0,32.3,38.0,43.0,complete
baseline_equal_weight,2023,KRVGD,78,1260,2000,10,0.0,44.0,50.0,55.0,complete
baseline_equal_weight,2023,KUYAS,53,1308,2000,10,0.0,29.0,34.0,39.0,complete
baseline_equal_weight,2023,LOGO,74,1274,2000,10,0.0,42.0,47.0,53.0,complete
baseline_equal_weight,2023,MAVI,55,1271,2000,10,0.0,30.0,35.0,41.0,complete
baseline_equal_weight,2023,MGROS,28,1258,2000,10,0.0007949126,14.0,18.0,22.0,complete
baseline_equal_weight,2023,MIATK,72,1276,2000,10,0.0,40.0,46.0,51.0,complete
baseline_equal_weight,2023,MPARK,45,1329,2000,10,0.0,24.0,29.0,34.0,complete
baseline_equal_weight,2023,NETAS,80,1268,2000,10,0.0,45.0,51.0,56.0,complete
baseline_equal_weight,2023,NTGAZ,63,1257,2000,10,0.0,35.0,40.0,45.6,complete
baseline_equal_weight,2023,ODAS,44,1265,2000,10,0.0,23.0,28.0,33.0,complete
baseline_equal_weight,2023,OTKAR,51,1277,2000,10,0.0,28.0,33.0,38.0,complete
baseline_equal_weight,2023,OYAKC,56,1253,2000,10,0.0,31.0,36.0,41.0,complete
baseline_equal_weight,2023,PASEU,73,1272,2000,10,0.0,41.0,47.0,52.0,complete
baseline_equal_weight,2023,PETKM,31,1312,2000,10,0.0007621951,15.0,20.0,24.0,complete
baseline_equal_weight,2023,PGSUS,8,1307,2000,10,1.0,3.0,5.0,8.0,complete
baseline_equal_weight,2023,PRKME,76,1275,2000,10,0.0,43.0,49.0,54.0,complete
baseline_equal_weight,2023,SAHOL,12,1308,2000,10,0.9587155963,5.0,8.0,11.0,complete
baseline_equal_weight,2023,SASA,21,1275,2000,10,0.0588235294,10.0,14.0,17.0,complete
baseline_equal_weight,2023,SELEC,58,1266,2000,10,0.0,32.0,37.0,42.375,complete
baseline_equal_weight,2023,SISE,1,1236,2000,10,1.0,1.0,1.0,1.0,complete
baseline_equal_weight,2023,SKBNK,61,1248,2000,10,0.0,33.0,39.0,44.0,complete
baseline_equal_weight,2023,SMRTG,79,1246,2000,10,0.0,45.0,50.0,55.0,complete
baseline_equal_weight,2023,SOKM,54,1262,2000,10,0.0,29.0,35.0,40.0,complete
baseline_equal_weight,2023,TAVHL,15,1254,2000,10,0.6307814992,7.0,10.0,13.0,complete
baseline_equal_weight,2023,TBORG,66,1271,2000,10,0.0,37.0,42.0,48.0,complete
