split,model,kind,mae,rmse,spearman,precision_at_5,top_bucket_avg_return,median_actual_return,directional_acc
test_2023,baseline_equal_weight,baseline,36.85,54.54,0.095,0.0,-9.31,-16.43,0.475
test_2023,baseline_rank_score,baseline,36.85,54.54,0.095,0.0,-9.31,-16.43,0.475
test_2023,robust_rank_aggregation,baseline,36.85,54.54,0.088,0.0,-13.57,-16.43,0.487
test_2023,linear_regression,ml,105.71,134.86,-0.052,0.2,5.66,-16.43,0.475
test_2023,ridge,ml,90.93,110.81,-0.0,0.2,5.66,-16.43,0.55
test_2023,lasso,ml,99.23,127.84,0.034,0.2,-1.24,-16.43,0.525
test_2023,elasticnet,ml,89.99,105.92,-0.092,0.2,5.66,-16.43,0.425
test_2023,random_forest,ml,111.4,132.6,-0.193,0.0,-30.43,-16.43,0.375
test_2023,gradient_boosting,ml,116.46,142.32,-0.143,0.0,-41.33,-16.43,0.425
test_2024,baseline_equal_weight,baseline,26.87,34.88,0.212,0.0,19.08,-6.46,0.6
test_2024,baseline_rank_score,baseline,26.87,34.88,0.212,0.0,19.08,-6.46,0.6
test_2024,robust_rank_aggregation,baseline,26.87,34.88,0.195,0.0,12.29,-6.46,0.55
test_2024,linear_regression,ml,47.72,63.08,0.062,0.0,-36.64,-6.46,0.5
test_2024,ridge,ml,41.69,54.18,0.203,0.0,-11.81,-6.46,0.6
test_2024,lasso,ml,47.03,61.9,0.17,0.0,-22.06,-6.46,0.575
test_2024,elasticnet,ml,40.94,50.16,0.043,0.0,-31.33,-6.46,0.525
test_2024,random_forest,ml,99.64,117.86,-0.162,0.0,-25.42,-6.46,0.475
test_2024,gradient_boosting,ml,88.69,108.06,-0.119,0.0,-27.29,-6.46,0.525
test_2025,baseline_equal_weight,baseline,29.55,44.33,0.142,0.2,18.77,-19.32,0.5
test_2025,baseline_rank_score,baseline,29.55,44.33,0.142,0.2,18.77,-19.32,0.5
test_2025,robust_rank_aggregation,baseline,29.56,44.35,0.1,0.0,-18.2,-19.32,0.475
test_2025,linear_regression,ml,39.39,55.22,0.105,0.0,2.49,-19.32,0.55
test_2025,ridge,ml,43.57,55.67,0.084,0.0,-20.27,-19.32,0.575
test_2025,lasso,ml,43.71,55.65,0.116,0.0,-20.27,-19.32,0.6
test_2025,elasticnet,ml,43.54,53.4,-0.008,0.0,-21.16,-19.32,0.575
test_2025,random_forest,ml,101.15,112.14,-0.111,0.2,-5.17,-19.32,0.475
test_2025,gradient_boosting,ml,99.26,115.4,-0.074,0.2,5.31,-19.32,0.475
