split,model,kind,mae,rmse,spearman,precision_at_5,top_bucket_avg_return,median_actual_return,directional_acc
test_2023,baseline_equal_weight,baseline,37.25,56.3,0.095,0.0,-5.32,-12.76,0.475
test_2023,baseline_rank_score,baseline,37.25,56.3,0.095,0.0,-5.32,-12.76,0.475
test_2023,robust_rank_aggregation,baseline,37.25,56.3,0.088,0.0,-9.77,-12.76,0.487
test_2023,linear_regression,ml,123.04,158.63,-0.04,0.2,0.52,-12.76,0.475
test_2023,ridge,ml,94.53,118.3,-0.025,0.2,10.3,-12.76,0.525
test_2023,lasso,ml,107.15,141.8,0.007,0.2,3.1,-12.76,0.55
test_2023,elasticnet,ml,92.41,110.93,-0.097,0.2,10.3,-12.76,0.45
test_2023,random_forest,ml,135.58,154.2,-0.135,0.0,-27.37,-12.76,0.45
test_2023,gradient_boosting,ml,126.12,151.49,-0.181,0.0,-40.59,-12.76,0.425
test_2024,baseline_equal_weight,baseline,33.82,46.41,0.212,0.0,43.76,12.92,0.6
test_2024,baseline_rank_score,baseline,33.82,46.41,0.212,0.0,43.76,12.92,0.6
test_2024,robust_rank_aggregation,baseline,33.81,46.4,0.195,0.0,35.56,12.92,0.55
test_2024,linear_regression,ml,55.21,72.05,0.1,0.0,-8.93,12.92,0.5
test_2024,ridge,ml,40.4,53.54,0.232,0.0,19.26,12.92,0.575
test_2024,lasso,ml,49.52,64.64,0.198,0.0,-5.91,12.92,0.575
test_2024,elasticnet,ml,38.48,48.36,0.064,0.0,-12.5,12.92,0.6
test_2024,random_forest,ml,119.38,141.11,-0.156,0.0,-9.97,12.92,0.45
test_2024,gradient_boosting,ml,105.89,129.32,-0.116,0.0,-12.23,12.92,0.5
test_2025,baseline_equal_weight,baseline,27.9,46.74,0.142,0.2,27.78,-13.2,0.5
test_2025,baseline_rank_score,baseline,27.9,46.74,0.142,0.2,27.78,-13.2,0.5
test_2025,robust_rank_aggregation,baseline,27.91,46.75,0.1,0.0,-11.99,-13.2,0.475
test_2025,linear_regression,ml,42.5,59.28,0.121,0.0,7.58,-13.2,0.525
test_2025,ridge,ml,47.57,60.36,0.08,0.0,-14.23,-13.2,0.575
test_2025,lasso,ml,47.56,60.45,0.118,0.0,-14.23,-13.2,0.6
test_2025,elasticnet,ml,47.58,57.91,-0.011,0.0,-16.07,-13.2,0.55
test_2025,random_forest,ml,137.51,150.5,-0.161,0.2,1.07,-13.2,0.45
test_2025,gradient_boosting,ml,135.4,152.87,-0.102,0.2,2.03,-13.2,0.475
