control,role,repetition_id,status,analyzable,classification,model,model_status,permutations,bootstraps,significance_seed,family_reject,observed_ic,permutation_p_value_two_sided,bootstrap_ci_95,degeneracy,mechanism_invariants
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3000,ANALYZABLE,True,ANALYZABLE,linear_regression,ANALYZABLE,10000,10000,3042,False,-0.022190594406271118,0.73692630736926312,"[-0.1596106593230477, 0.11330142102598065]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3000,ANALYZABLE,True,ANALYZABLE,ridge,ANALYZABLE,10000,10000,3042,False,-0.0044766142029393037,0.95000499950005002,"[-0.14005153415404556, 0.12823236630321666]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3000,ANALYZABLE,True,ANALYZABLE,lasso,ANALYZABLE,10000,10000,3042,False,-0.015001932718372551,0.81741825817418257,"[-0.15129426341905156, 0.1208078884231356]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3000,ANALYZABLE,True,ANALYZABLE,elasticnet,ANALYZABLE,10000,10000,3042,False,0.01470622390413269,0.82451754824517554,"[-0.12030075134039195, 0.14650642638383518]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3000,ANALYZABLE,True,ANALYZABLE,random_forest,ANALYZABLE,10000,10000,3042,False,-0.00035804438753580153,0.99540045995400461,"[-0.12963393108464116, 0.12744148886756232]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3000,ANALYZABLE,True,ANALYZABLE,gradient_boosting,ANALYZABLE,10000,10000,3042,False,0.041640212875295131,0.51924807519248073,"[-0.0885354918872284, 0.1714419857736511]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3001,ANALYZABLE,True,ANALYZABLE,linear_regression,ANALYZABLE,10000,10000,3043,False,-0.032162265228468843,0.61173882611738828,"[-0.15804306777350458, 0.09983867894403198]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3001,ANALYZABLE,True,ANALYZABLE,ridge,ANALYZABLE,10000,10000,3043,False,-0.045922249702905739,0.47095290470952905,"[-0.17317016406305263, 0.08643251644354781]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3001,ANALYZABLE,True,ANALYZABLE,lasso,ANALYZABLE,10000,10000,3043,False,-0.042765501149869177,0.5003499650034996,"[-0.1688833300704009, 0.08972196715002087]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3001,ANALYZABLE,True,ANALYZABLE,elasticnet,ANALYZABLE,10000,10000,3043,False,-0.088897877823005511,0.17048295170482952,"[-0.2152882353576659, 0.04298203019188642]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3001,ANALYZABLE,True,ANALYZABLE,random_forest,ANALYZABLE,10000,10000,3043,False,-0.034274876871349384,0.59334066593340662,"[-0.168074919724161, 0.09571492051170737]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3001,ANALYZABLE,True,ANALYZABLE,gradient_boosting,ANALYZABLE,10000,10000,3043,False,-0.016643328445043477,0.79642035796420363,"[-0.14676976466501923, 0.11216563536443888]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3002,ANALYZABLE,True,ANALYZABLE,linear_regression,ANALYZABLE,10000,10000,3044,False,0.018863376376268753,0.76932306769323067,"[-0.11024203919472748, 0.14333590713115132]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3002,ANALYZABLE,True,ANALYZABLE,ridge,ANALYZABLE,10000,10000,3044,False,0.020066651844253394,0.75162483751624842,"[-0.10696531829994584, 0.14529724307400257]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3002,ANALYZABLE,True,ANALYZABLE,lasso,ANALYZABLE,10000,10000,3044,False,0.021488792641197407,0.73972602739726023,"[-0.10725177768787578, 0.1464356179493867]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3002,ANALYZABLE,True,ANALYZABLE,elasticnet,ANALYZABLE,10000,10000,3044,False,0.016534852015075836,0.79442055794420563,"[-0.11077424778611196, 0.1432224501990073]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_MASK_ALIGNED_DIAGNOSTIC,DIAGNOSTIC / NON-GATING / OUTSIDE CONFIRMATORY FAMILY,3002,ANALYZABLE,True,ANALYZABLE,random_forest,ANALYZABLE,10000,10000,3044,False,-0.061064391439946929,0.34886511348865112,"[-0.1929939964015634, 0.0687463262368997]",[],"{""canonical_splits_unchanged"": true, ""confirmatory_gate_excluded"": true, ""diagnostic_isolated"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""real_mask_alignment_retained"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
