arm,carrier,ic_injected,checkpoint,checkpoint_role,checkpoint_description,mean_ic,sd_ic,p05_ic,p95_ic,background_ic,background_dominated,background_adjusted_ic_heuristic,background_adjusted_ratio_heuristic,mean_ratio_to_injected,sd_ratio_to_injected,ratio_suppressed_reason
primary,equity,0,ic_injected,design_constant,intended injected IC (design constant theta),0,0,0,0,0,,,,,,injected design constant — ratio to itself not interpreted
primary,equity,0,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.000470399552,0.067432023258000004,-0.103807846388,0.11118164659,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.000470399552,0.067432023258000004,-0.103807846388,0.11118164659,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.000470399552,0.067432023258000004,-0.103807846388,0.11118164659,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.090871241231000002,0.013193450875,0.070205207266999997,0.11391608210699999,0.090871241231000002,,,,,,
primary,equity,0,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.090871241231000002,0.013193450875,0.070205207266999997,0.11391608210699999,0.090871241231000002,,,,,,
primary,equity,0.10000000000000001,ic_injected,design_constant,intended injected IC (design constant theta),0.10000000000000001,0,0.10000000000000001,0.10000000000000001,0,False,0.10000000000000001,,,,injected design constant — ratio to itself not interpreted
primary,equity,0.10000000000000001,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.101985172708,0.062025872369,0.0041559288150000004,0.20617646992800001,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.10000000000000001,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.101985172708,0.062025872369,0.0041559288150000004,0.20617646992800001,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.10000000000000001,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.101985172708,0.062025872369,0.0041559288150000004,0.20617646992800001,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.10000000000000001,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.100088851949,0.019251483571000001,0.074612509697999999,0.13982711210500001,0.090871241231000002,True,0.0092176107180000008,,,,theta=0 background dominates
primary,equity,0.10000000000000001,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.100088851949,0.019251483571000001,0.074612509697999999,0.13982711210500001,0.090871241231000002,True,0.0092176107180000008,,,,theta=0 background dominates
primary,equity,0.20000000000000001,ic_injected,design_constant,intended injected IC (design constant theta),0.20000000000000001,0,0.20000000000000001,0.20000000000000001,0,False,0.20000000000000001,,,,injected design constant — ratio to itself not interpreted
primary,equity,0.20000000000000001,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.21067252145099999,0.057556761749999998,0.119652274382,0.29619535990000001,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.20000000000000001,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.21067252145099999,0.057556761749999998,0.119652274382,0.29619535990000001,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.20000000000000001,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.21067252145099999,0.057556761749999998,0.119652274382,0.29619535990000001,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.20000000000000001,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.136641167329,0.031322969360000001,0.092856876840000005,0.19410289066899999,0.090871241231000002,False,0.045769926097999999,0.22884963049000001,0.68320583664500001,0.15661484680099999,
