arm,carrier,ic_injected,repetitions,detections,detection_rate,detection_rate_ci_low,detection_rate_ci_high,mean_recovered_ic,sd_recovered_ic,recovery_bias,background_ic,background_dominated,background_adjusted_recovered_ic_heuristic,background_adjusted_ratio_heuristic,n_raw_carrier,n_model_input_carrier
primary,equity,0,200,0,0,0,0.018845326377,0.090871241231000002,0.013193450875,0.090871241231000002,0.090871241231000002,,,,240,240
primary,equity,0.10000000000000001,200,0,0,0,0.018845326377,0.100088851949,0.019251483571000001,8.8851948999999996e-05,0.090871241231000002,True,0.0092176107180000008,,240,240
primary,equity,0.20000000000000001,200,34,0.17000000000000001,0.124279079126,0.22815883628299999,0.136641167329,0.031322969360000001,-0.063358832670999995,0.090871241231000002,False,0.045769926097999999,0.22884963049000001,240,240
primary,equity,0.29999999999999999,200,123,0.61499999999999999,0.54599867220200005,0.67966690273100006,0.18027818693299999,0.037454383559,-0.119721813067,0.090871241231000002,False,0.089406945702000001,0.29802315233999999,240,240
primary,equity,0.40000000000000002,200,186,0.93000000000000005,0.88594519114400005,0.95784782817199998,0.243201367798,0.048583160296000003,-0.15679863220199999,0.090871241231000002,False,0.15233012656700001,0.38082531641799999,240,240
secondary,current_ratio,0,200,0,0,0,0.018845326377,0.095308622487000005,0.011272258628,0.095308622487000005,0.095308622487000005,,,,120,240
secondary,current_ratio,0.10000000000000001,200,1,0.0050000000000000001,0.000883168716,0.027773704398000001,0.101368074339,0.015718433333,0.0013680743390000001,0.095308622487000005,True,0.0060594518519999996,,120,240
secondary,current_ratio,0.20000000000000001,200,7,0.035000000000000003,0.017055542008999999,0.070470611522000001,0.11804953952699999,0.022788931823,-0.081950460473000003,0.095308622487000005,False,0.022740917039999999,0.1137045852,120,240
secondary,current_ratio,0.29999999999999999,200,34,0.17000000000000001,0.124279079126,0.22815883628299999,0.14060882026300001,0.029558000958,-0.15939117973700001,0.095308622487000005,False,0.045300197776000001,0.15100065925299999,120,240
secondary,current_ratio,0.40000000000000002,200,120,0.59999999999999998,0.53083672039300001,0.66539421433199997,0.17970025323,0.036672733008000002,-0.22029974677,0.095308622487000005,False,0.084391630743000004,0.21097907685699999,120,240
sanity,equity,0.90000000000000002,200,200,1,0.98115467362300002,1,0.76399636516000002,0.016663222796999999,-0.13600363484,,,,,240,240
