arm,carrier,ic_injected,repetition,injection_seed,permutation_seed,injected_dataset_sha256,permutation_p_value_two_sided,bonferroni_adjusted_p_value,detected,n_ic_injected,ic_raw_carrier,n_ic_raw_carrier,ratio_to_injected_ic_raw_carrier,ic_panel_carrier,n_ic_panel_carrier,ratio_to_injected_ic_panel_carrier,ic_model_input_carrier,n_ic_model_input_carrier,ratio_to_injected_ic_model_input_carrier,ic_model_prediction,n_ic_model_prediction,ratio_to_injected_ic_model_prediction,ic_final_evaluation,n_ic_final_evaluation,ratio_to_injected_ic_final_evaluation
primary,equity,0,0,42000126,42,3c6470abdb87cd108d9398f42bd46333e326688d4717f8d921533ef7532c3f0e,0.15278472152799999,0.76392360763900002,False,,-0.032567739434000001,240,,-0.032567739434000001,240,,-0.032567739434000001,240,,0.09406142009,240,,0.09406142009,240,
primary,equity,0,1,42000127,43,9ac719e5b1b95666890038cf7cf6e1eddaee6ca6738d431bdd1eb5a701596eec,0.188381161884,0.94190580941900004,False,,0.031380737812000001,240,,0.031380737812000001,240,,0.031380737812000001,240,,0.086240062965999995,240,,0.086240062965999995,240,
primary,equity,0,2,42000128,44,b258b84104fc3f7eaf3aa787091870cf6052342b42bdcfcf9c6aec91fcd09e29,0.165083491651,0.82541745825400004,False,,-0.047482726614,240,,-0.047482726614,240,,-0.047482726614,240,,0.090302875086999995,240,,0.090302875086999995,240,
primary,equity,0,3,42000129,45,c5cd3d62cb1df2be0f4461f16ef5afb32a17dfc455341bcc1c78da429561828b,0.20887911208900001,1,False,,-0.011017574689,240,,-0.011017574689,240,,-0.011017574689,240,,0.082184369623000006,240,,0.082184369623000006,240,
primary,equity,0,4,42000130,46,60d4737065239b8e88de9930bca6faa58ded1f085446d88cc7e5624faa7b723c,0.11498850115000001,0.57494250574899997,False,,-0.024808825587,240,,-0.024808825587,240,,-0.024808825587,240,,0.102133099096,240,,0.102133099096,240,
primary,equity,0,5,42000131,47,6e197d125b1f0cf60b6ecb1eda6e4b59d633cb115b75bb4589cf3c40bfa6a805,0.212478752125,1,False,,-0.079856153718000006,240,,-0.079856153718000006,240,,-0.079856153718000006,240,,0.081488990775000006,240,,0.081488990775000006,240,
primary,equity,0,6,42000132,48,7a35a20b56f10d9fd9a7e571a9d805ee30d10e97bd9647088b1a1a9d711cb6df,0.118288171183,0.59144085591399997,False,,0.012337514888999999,240,,0.012337514888999999,240,,0.012337514888999999,240,,0.102398801691,240,,0.102398801691,240,
primary,equity,0,7,42000133,49,f18b5844ed18b45fa9e81bdebcf05d45c30b1688f83bde0a861e6212a239555b,0.18568143185700001,0.92840715928399997,False,,0.018589568822,240,,0.018589568822,240,,0.018589568822,240,,0.086435064744999998,240,,0.086435064744999998,240,
primary,equity,0,8,42000134,50,649a6a70606c14fb3df825af14122d1a8b88d9c5cb4a1bd6b19f7479e3f621b5,0.099290070992999996,0.49645035496500001,False,,0.13504585318000001,240,,0.13504585318000001,240,,0.13504585318000001,240,,0.107962189284,240,,0.107962189284,240,
primary,equity,0,9,42000135,51,9dc16201f0f8a98770634c4e8e3e21770f898e790be3e35928e61a5508669910,0.088691130886999994,0.44345565443500001,False,,0.085723783885000002,240,,0.085723783885000002,240,,0.085723783885000002,240,,0.111243702949,240,,0.111243702949,240,
