carrier,model,ic_injected,level_index,repetition,injection_seed,permutation_seed,injected_dataset_sha256,permutation_p_value_two_sided,stage1_operating_point_p_value,detected_stage1_rule,detected_raw_p05,n_ic_injected,ic_raw_carrier,n_ic_raw_carrier,ic_panel_carrier,n_ic_panel_carrier,ic_model_input_carrier,n_ic_model_input_carrier,ic_model_prediction,n_ic_model_prediction,ic_final_evaluation,n_ic_final_evaluation,invariant_carrier_missingness_mask_preserved,invariant_carrier_observed_value_multiset_preserved_within_year,invariant_carrier_reaches_model_input,invariant_identity_checkpoint_ics_agree,invariant_non_carrier_features_unchanged,invariant_ridge_prediction_ic_equals_final_evaluation_ic,invariant_targets_unchanged
equity,ridge,0,0,200,42000326,242,efd5754d4f2eb07c274e9a3e6bdf421086408dbd9c74e6d3fbd7bfdb53770aa5,0.163683631637,0.81841815818499997,False,False,,0.101343829577,240,0.101343829577,240,0.101343829577,240,0.091365636560000005,240,0.091365636560000005,240,True,True,True,True,True,True,True
equity,ridge,0,0,201,42000327,243,fbb01d824b9692e5a79a7200728137dc01a7b8ea60f8f4a0c45fd944becd2bd3,0.166583341666,0.83291670832999998,False,False,,-8.6399145000000001e-05,240,-8.6399145000000001e-05,240,-8.6399145000000001e-05,240,0.088919971959999997,240,0.088919971959999997,240,True,True,True,True,True,True,True
equity,ridge,0,0,202,42000328,244,24b8c8fce42423656f2d7f5bf5fe32c2128336420bc1d0a17d2e0a541ea61bdc,0.18238176182400001,0.91190880912000005,False,False,,0.022323791435,240,0.022323791435,240,0.022323791435,240,0.087310301495000006,240,0.087310301495000006,240,True,True,True,True,True,True,True
equity,ridge,0,0,203,42000329,245,87683976a14b45446ae568d94d2999e9e0474c63f56e924ce6f2bd4ebc214a91,0.18388161183900001,0.91940805919500002,False,False,,-0.018042494977000001,240,-0.018042494977000001,240,-0.018042494977000001,240,0.085669248111999996,240,0.085669248111999996,240,True,True,True,True,True,True,True
equity,ridge,0,0,204,42000330,246,f86e0ef705c3890d88b188a3268878999837dcc4fb0bc623f540783d3f0ad87a,0.18288171182900001,0.91440855914499997,False,False,,0.063792624482999993,240,0.063792624482999993,240,0.063792624482999993,240,0.086700831448999996,240,0.086700831448999996,240,True,True,True,True,True,True,True
equity,ridge,0,0,205,42000331,247,4e34edbbf579f8c177c426719cb7dd85f02bbb371e769bc072d8d8dd6700056c,0.067993200680000004,0.33996600339999999,False,False,,-0.068206459843,240,-0.068206459843,240,-0.068206459843,240,0.117541983096,240,0.117541983096,240,True,True,True,True,True,True,True
equity,ridge,0,0,206,42000332,248,ce5e4da94d6e8a89f23fbb7d03a69be3d92df01822de92a607655745dfe5b2e3,0.20457954204600001,1,False,False,,-0.026293193704,240,-0.026293193704,240,-0.026293193704,240,0.082637579722000004,240,0.082637579722000004,240,True,True,True,True,True,True,True
equity,ridge,0,0,207,42000333,249,01fe8cca8c94322df4635303b03f005793bdc8b5aa3ccc255943bb0352a67052,0.20447955204500001,1,False,False,,-0.026263010909999999,240,-0.026263010909999999,240,-0.026263010909999999,240,0.082481450557,240,0.082481450557,240,True,True,True,True,True,True,True
equity,ridge,0,0,208,42000334,250,1102e4993968cf6b8f7dac8f7ad58e7004bbfc76452a946de908e50694cf7e33,0.13618638136200001,0.68093190681000004,False,False,,-0.095789138945999996,240,-0.095789138945999996,240,-0.095789138945999996,240,0.097155632317000001,240,0.097155632317000001,240,True,True,True,True,True,True,True
equity,ridge,0,0,209,42000335,251,6d843b7c97e175d612d719e0b08a5322e839b80d4f30686352a23eb3231251e2,0.12768723127699999,0.63843615638499995,False,False,,0.070417300685999995,240,0.070417300685999995,240,0.070417300685999995,240,0.098601137345000006,240,0.098601137345000006,240,True,True,True,True,True,True,True
