ticker,sector,period,net_income,total_equity,total_assets,revenue,gross_profit,total_liabilities,operating_cash_flow,current_assets,current_liabilities,cash,operating_income,inventory
DSTKF,Financial,2024Q4,8500000000,125000000000,1250000000000,65000000000,18500000000,450000000000,10200000000,450000000000,280000000000,180000000000,11200000000,5000000
DSTKF,Financial,2023Q4,8200000000,120000000000,1200000000000,62000000000,17800000000,440000000000,9800000000,430000000000,270000000000,175000000000,10800000000,4800000
DSTKF,Financial,2022Q4,7800000000,115000000000,1150000000000,59000000000,17000000000,430000000000,9400000000,410000000000,260000000000,170000000000,10300000000,4600000
DSTKF,Financial,2021Q4,7400000000,110000000000,1100000000000,56000000000,16200000000,420000000000,9000000000,390000000000,250000000000,165000000000,9800000000,4400000
DSTKF,Financial,2020Q4,7000000000,105000000000,1050000000000,53000000000,15500000000,410000000000,8600000000,370000000000,240000000000,160000000000,9300000000,4200000
SISE,Financial,2024Q4,12000000000,185000000000,1850000000000,85000000000,24000000000,650000000000,13500000000,580000000000,360000000000,220000000000,14800000000,6500000
SISE,Financial,2023Q4,11500000000,180000000000,1800000000000,82000000000,23200000000,640000000000,13000000000,560000000000,350000000000,210000000000,14300000000,6200000
SISE,Financial,2022Q4,11000000000,175000000000,1750000000000,79000000000,22400000000,630000000000,12500000000,540000000000,340000000000,200000000000,13800000000,5900000
SISE,Financial,2021Q4,10500000000,170000000000,1700000000000,76000000000,21600000000,620000000000,12000000000,520000000000,330000000000,190000000000,13300000000,5600000
SISE,Financial,2020Q4,10000000000,165000000000,1650000000000,73000000000,20800000000,610000000000,11500000000,500000000000,320000000000,180000000000,12800000000,5300000
TAVHL,Financial,2024Q4,6500000000,95000000000,950000000000,48000000000,13500000000,350000000000,7800000000,320000000000,200000000000,140000000000,8500000000,3500000
TAVHL,Financial,2023Q4,6200000000,92000000000,920000000000,46000000000,13000000000,340000000000,7500000000,310000000000,195000000000,135000000000,8200000000,3300000
TAVHL,Financial,2022Q4,5900000000,89000000000,890000000000,44000000000,12500000000,330000000000,7200000000,300000000000,190000000000,130000000000,7900000000,3100000
TAVHL,Financial,2021Q4,5600000000,86000000000,860000000000,42000000000,12000000000,320000000000,6900000000,290000000000,185000000000,125000000000,7600000000,2900000
TAVHL,Financial,2020Q4,5300000000,83000000000,830000000000,40000000000,11500000000,310000000000,6600000000,280000000000,180000000000,120000000000,7300000000,2700000
TSKB,Financial,2024Q4,9500000000,140000000000,1400000000000,72000000000,20500000000,520000000000,11500000000,460000000000,290000000000,190000000000,12800000000,5200000
TSKB,Financial,2023Q4,9100000000,135000000000,1350000000000,69000000000,19800000000,510000000000,11000000000,440000000000,280000000000,185000000000,12300000000,4900000
TSKB,Financial,2022Q4,8700000000,130000000000,1300000000000,66000000000,19100000000,500000000000,10500000000,420000000000,270000000000,180000000000,11800000000,4700000
TSKB,Financial,2021Q4,8300000000,125000000000,1250000000000,63000000000,18400000000,490000000000,10000000000,400000000000,260000000000,175000000000,11300000000,4500000
TSKB,Financial,2020Q4,7900000000,120000000000,1200000000000,60000000000,17700000000,480000000000,9500000000,380000000000,250000000000,170000000000,10800000000,4300000
TURSG,Financial,2024Q4,7800000000,115000000000,1150000000000,58000000000,16500000000,400000000000,9500000000,380000000000,240000000000,160000000000,10500000000,4100000
TURSG,Financial,2023Q4,7400000000,110000000000,1100000000000,55000000000,15800000000,390000000000,9200000000,360000000000,230000000000,155000000000,10000000000,3900000
TURSG,Financial,2022Q4,7000000000,105000000000,1050000000000,52000000000,15100000000,380000000000,8900000000,340000000000,220000000000,150000000000,9500000000,3700000
TURSG,Financial,2021Q4,6600000000,100000000000,1000000000000,49000000000,14400000000,370000000000,8600000000,320000000000,210000000000,145000000000,9000000000,3500000
TURSG,Financial,2020Q4,6200000000,95000000000,950000000000,46000000000,13700000000,360000000000,8300000000,300000000000,200000000000,140000000000,8500000000,3300000
